"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change","change_type"
"CPEB2",0.350108988023728,4.54573335464612,4.95275917152554,0.000798299220976306,0.825751139058368,-0.946854824685003,"Stable","up_stable"
"KBTBD7",0.244070609340859,4.45445201200614,2.80776089401564,0.0205341110392443,0.825819064074335,-3.06082059249269,"Stable","up_stable"
"RAB27A",0.125027273507075,7.12660267832356,1.86110163984807,0.0957854426941365,0.838320750951919,-4.17155686331641,"Stable","up_stable"
"PRICKLE3",0.309938156334421,3.23892389137301,4.17670480476268,0.00241002097948043,0.825751139058368,-2.11520079023765,"Stable","up_stable"
"RAB33B",0.0243680590926214,4.21660444264732,0.338492335144086,0.742787436855542,0.971414448443879,-5.32524162777953,"Stable","up_stable"
"TMBIM4",0.0643835495582135,6.27171207637904,0.826303289152897,0.430080729155657,0.930006841594511,-5.207347434485,"Stable","up_stable"
"EDEM2",0.252382682025984,5.19707015448827,3.18251167950482,0.0111993195346503,0.825819064074335,-2.5862580109789,"Stable","up_stable"
"PPM1D",0.0883377654118407,4.65750831788431,0.945187807396639,0.369347149037751,0.921190913638567,-5.05360875350259,"Stable","up_stable"
"KCNQ1OT1",0.331347726611088,2.68090302833907,2.55965925135115,0.0308037287294362,0.825819064074335,-3.58855345526547,"Stable","up_stable"
"ZDHHC7",0.0621741139324135,6.9230050134871,0.72316876923251,0.48801968806498,0.938312012557549,-5.25896909637938,"Stable","up_stable"
"ITPRID2",0.0145588550633571,6.15702642729532,0.167309991695183,0.870840539370534,0.987843609599946,-5.50070132825607,"Stable","up_stable"
"EIF1B",0.0814198691146197,5.07593882739218,0.884168591853748,0.399703586288015,0.926132024262009,-5.13418885343347,"Stable","up_stable"
"LTA4H",0.0580386119282936,7.50059764856196,0.644556211104404,0.535362721550545,0.948149675309469,-5.27981729879145,"Stable","up_stable"
"HIVEP1",0.13896582963262,4.78093395896202,1.38610467770562,0.199228582236955,0.872851859731022,-4.67185992324093,"Stable","up_stable"
"BNIP3L",0.188391777511447,6.71320248561224,1.96191736455998,0.0815294703560993,0.835165847548176,-4.05894198376082,"Stable","up_stable"
"TMLHE",0.0432510933856145,3.6075776446753,0.416160705619826,0.687081572523037,0.965603834076253,-5.19774867073319,"Stable","up_stable"
"RRM2B",0.153097613761313,5.59700542693919,1.28668833939518,0.230443774788875,0.889457805985247,-4.80785969680599,"Stable","up_stable"
"ARHGDIB",0.0414627366335125,10.351488607386,0.371916859405499,0.718596407614708,0.968675678482159,-5.22362610257567,"Stable","up_stable"
"PGM1",0.0253617040029592,4.78574412329745,0.237006831796151,0.81798034301259,0.984929953071455,-5.42490793231724,"Stable","up_stable"
"TMEM185B",0.0973638961526477,5.4415629559536,0.89329307711873,0.395054727726447,0.926132024262009,-5.14725477241808,"Stable","up_stable"
"FADD",0.0686352241219046,5.11646425818645,0.620448533282715,0.550412420745426,0.949336265476416,-5.30712280262397,"Stable","up_stable"
"TBC1D10B",0.060596823324409,6.46772868050689,0.547102123890036,0.597666118577436,0.958521888128456,-5.3721091071797,"Stable","up_stable"
"SULT1A3",0.268385663892102,4.40862860829863,2.0062539715261,0.0759189561740865,0.83340446415113,-3.98130139406914,"Stable","up_stable"
"GPR141",0.142984004765892,4.2538878867637,1.08971524610919,0.304270873119982,0.907280533843185,-4.89735542963494,"Stable","up_stable"
"TOR4A",0.142310740267947,5.80137600924981,1.10071965765354,0.29970326031869,0.907280533843185,-4.98640615108917,"Stable","up_stable"
"LETM2",0.109082251495784,2.56921758085682,0.73706041228069,0.479935928221785,0.938247354182853,-4.87334130032206,"Stable","up_stable"
"ZNF674",0.184197327344483,2.69394403409207,1.29515340890392,0.22763473299598,0.888263153520025,-4.565148945803,"Stable","up_stable"
"GYG1",0.0883565665444062,5.1898074802092,0.597682302048565,0.564846791778869,0.951373827816945,-5.32265803145829,"Stable","up_stable"
"BSG",0.12618537097411,8.12868832391912,0.912190627581482,0.385549058009999,0.92604347368125,-5.07154392488631,"Stable","up_stable"
"HTRA1",1.33686370097126,0.217734305362393,4.69911811230794,0.00113454076003381,0.825751139058368,-4.04960564354922,"Stable","up_stable"
"ZNRD2",0.65557427384993,2.89070760842785,3.03039290034787,0.0143059174254006,0.825819064074335,-3.15091766405962,"Stable","up_stable"
"SLC6A12",0.304509811579165,1.8007965462057,1.21610925561625,0.255003111557553,0.89609283102306,-4.56380967684899,"Stable","up_stable"
"ATP6V0C",0.087617156772958,7.51569241452458,0.549254878474865,0.596248693634574,0.958521888128456,-5.3298009444079,"Stable","up_stable"
"SLC7A7",0.0482500735949847,6.69693517908131,0.313554956767689,0.761034149643401,0.975676541382162,-5.45731817414763,"Stable","up_stable"
"SLC37A3",0.0674199491097034,4.18250007982971,0.403198706411941,0.696251835428984,0.967061321843777,-5.29674170147904,"Stable","up_stable"
"FGGY",0.0741419628295368,1.31657295448918,0.393925132036956,0.702844915563378,0.967837228122932,-4.78264310870223,"Stable","up_stable"
"SPRY3",0.335077596932723,1.732424033824,2.04682823486262,0.0711093319300504,0.83340446415113,-4.12885641921393,"Stable","up_stable"
"CC2D2A",0.376383726244863,0.821984067117112,1.32028931911356,0.219462074009752,0.881356285155917,-4.53139595775006,"Stable","up_stable"
"FFAR3",0.777227148997946,0.19298139057736,0.948682817274635,0.367660539863759,0.919905170636782,-4.60578935349817,"Stable","up_stable"
"MMRN1",0.362121214591452,1.72668917707526,1.79623274572552,0.106162585621347,0.848221848432647,-4.26902349643023,"Stable","up_stable"
"HTATSF1P2",0.243583965978057,1.5816923823393,1.22651702404141,0.251251886054882,0.895689508985794,-4.55596704553448,"Stable","up_stable"
"CAMP",0.168148146962774,2.22805967823113,0.46990503943936,0.649646856976994,0.962109691237951,-4.88485683261509,"Stable","up_stable"
"FAM114A1",0.214792475926279,1.39847158188424,0.701805886803776,0.500618190006027,0.94009561081988,-4.71929267456767,"Stable","up_stable"
