logFC	AveExpr	t	P.Value	adj.P.Val	B	change
BASP1	1.20119277655146	7.25261425591873	14.8669212277385	2.1713650810732e-09	1.78394312471265e-05	11.7462261690125	Up
WDFY3	1.01889590699247	8.47308225280355	14.0920565243491	4.12508251118705e-09	1.78394312471265e-05	11.2651180251896	Up
ACSL1	1.32954223143537	9.04087463618717	13.7643981950258	5.46272264380725e-09	1.78394312471265e-05	11.0275141961394	Up
PYGL	0.946358277266823	7.60889218596108	12.9117614903967	1.1674377331594e-08	2.85934686794067e-05	10.2854963776392	Up
PADI2	0.962087366837256	8.01961782309759	11.9910043809583	2.7884303289815e-08	4.97116057125045e-05	9.49850915682952	Up
KCNJ15	1.07983753598923	7.71265790370822	11.9012958416096	3.04449968638386e-08	4.97116057125045e-05	9.40591364496582	Up
ALPL	1.4940507410247	7.60740269325316	11.4611851963338	4.72397650371791e-08	6.27589989786052e-05	8.98970862308482	Up
ADGRG3	1.32971730890665	6.71081990513053	11.381127616524	5.12475239184282e-08	6.27589989786052e-05	8.85163791220974	Up
LINC01002	1.15292582644546	6.65503475446409	11.2413148116851	5.91473844865744e-08	6.43852139794411e-05	8.71317960127029	Up
BCL6	1.15069982836085	8.18962014640424	10.9950553007686	7.64157086759642e-08	7.24502299890343e-05	8.55068303138913	Up
PLXNC1	0.901952881156372	9.34441801903727	10.9248968420268	8.22721835096353e-08	7.24502299890343e-05	8.48943121017644	Up
TNFRSF10C	0.859557829165043	8.75932147022779	10.8533608813652	8.87417331701961e-08	7.24502299890343e-05	8.41373040802054	Up
PFKFB3	1.22367781890473	6.71048200021864	10.7488563439114	9.91915084851663e-08	7.47218739484129e-05	8.24641925909107	Up
VNN2	0.799719565876178	8.51895269882641	10.5807373689459	1.18867215460329e-07	7.47218739484129e-05	8.13224621700835	Up
AQP9	1.0112930026797	8.89627708655949	10.5491272088329	1.23013162656505e-07	7.47218739484129e-05	8.10086176968503	Up
NIBAN1	0.969746954946769	9.59838360779365	10.4578273888299	1.35881677087162e-07	7.47218739484129e-05	8.00668235881662	Up
DYSF	1.21266354346634	8.5874857931401	10.3825315520354	1.47579472872607e-07	7.47218739484129e-05	7.92368295664564	Up
PPP1R3B	0.978736324504863	7.12163826446132	10.3984466124992	1.45019974856805e-07	7.47218739484129e-05	7.91554433049433	Up
FCGR2A	0.915557522855201	8.98652200368691	10.3421814490414	1.54287913834289e-07	7.47218739484129e-05	7.88231922955106	Up
CR1	1.2128010695674	8.26082015293922	10.3281860767077	1.56690366604732e-07	7.47218739484129e-05	7.86349744939148	Up
SOD2	0.814547421440526	10.7256410320879	10.2646967683143	1.68103068620468e-07	7.47218739484129e-05	7.80083652824182	Up
NAMPT	0.963336729664389	10.9343177285595	10.2395101946542	1.72874266767888e-07	7.47218739484129e-05	7.77346963905502	Up
ADGRE3	0.771703968074115	7.43729704581304	10.1950055138698	1.81662938492279e-07	7.47218739484129e-05	7.71030024997796	Up
CREB5	0.945722439309062	7.75968396046864	10.1882005793444	1.83048379581699e-07	7.47218739484129e-05	7.70784965824217	Up
ECE1	0.909528691252892	8.13888559435645	10.1305337971563	1.9525312714889e-07	7.65157954671071e-05	7.65010693277878	Up
MGAM	1.22844893929638	8.65953828117154	10.07688308559	2.07392122799866e-07	7.81469471950111e-05	7.59459966092591	Up
MXD1	0.813190347293915	9.87971670111858	10.0008073427981	2.26009050682626e-07	8.16003086286837e-05	7.51312645183901	Up
STEAP4	0.818783727119076	8.69257223353477	9.9731449778429	2.33215131326237e-07	8.16003086286837e-05	7.48086256225194	Up
SERPINA1	0.833482030320893	8.84497357345093	9.81611610527914	2.79064595365415e-07	9.13479476410141e-05	7.30648359304993	Up
RNF24	0.880727188834625	8.73936441208823	9.75019666783413	3.01105739197899e-07	9.13479476410141e-05	7.23233691248599	Up
HSPA1A	0.899961923903829	7.69994231575852	9.74529869760814	3.02816156758223e-07	9.13479476410141e-05	7.22183564206082	Up
DGAT2	0.882714689331165	7.24738298902163	9.58942350103034	3.63058111031092e-07	0.000101625151822046	7.04296913155244	Up
PROK2	1.38217503852216	6.03923460264126	9.59268298596457	3.61674809265615e-07	0.000101625151822046	6.99147383759171	Up
SOCS3	1.36517893237959	5.36360534036796	9.73149011436874	3.07694424023014e-07	9.13479476410141e-05	6.9750590155791	Up
KREMEN1	1.56311699890914	5.0358759245082	9.77917151039225	2.91196497544223e-07	9.13479476410141e-05	6.88746410335067	Up
SULT1B1	0.700515138208942	7.39783476173072	9.3933868128416	4.57612618960153e-07	0.000123264156324958	6.82001879388945	Up
FAM157A	1.15308212906244	7.71214857485423	9.37898675237347	4.65527588447835e-07	0.000123264156324958	6.80540289233492	Up
FAM157C	1.07889128182919	8.15877886191229	9.35025626256575	4.81759756284213e-07	0.00012338853618803	6.77282269922576	Up
LYN	0.654937255104201	9.22322666152847	9.33404237346987	4.91186374536406e-07	0.00012338853618803	6.75366260031164	Up
GCA	0.737856155373509	8.23048718931353	9.24764097566548	5.44856541962993e-07	0.000127972043485916	6.65243895584176	Up
LILRB3	0.865995154160613	7.168329503338	9.24192801221714	5.48619559702813e-07	0.000127972043485916	6.6419303905027	Up
BCL3	1.05898690557001	6.37662145139774	9.24785239131911	5.44717816778416e-07	0.000127972043485916	6.6273738753158	Up
IFITM3	0.914544822488875	6.74855889781383	9.19874806821634	5.77975364222945e-07	0.000131684294030051	6.5796159569337	Up
S100A9	0.985455720891864	9.44777540995958	9.08413992395972	6.64336902403856e-07	0.00014498525094685	6.45637282342293	Up
MEGF9	0.66662754834009	8.84631660370366	9.06721676814988	6.78215242637407e-07	0.00014498525094685	6.43690584358485	Up
ALPK1	0.798884429357831	7.12352995674619	9.0641641775322	6.80751407936622e-07	0.00014498525094685	6.43129115169693	Up
TLE3	0.796278027371773	8.99871156966104	8.93348637863995	7.99409741413652e-07	0.00016663440928999	6.27460563809913	Up
KDM6B	0.826677580616284	8.63179149808867	8.82287428436495	9.17136273809076e-07	0.000185093056522015	6.13990501762103	Up
GAB2	0.655719772320217	7.54451211716874	8.81538603023216	9.25748675061622e-07	0.000185093056522015	6.1341026630564	Up
SORL1	0.713496734258943	11.4815218246598	8.7554025479944	9.97932941953658e-07	0.000191291813284601	6.05490696822741	Up
F5	1.10359512054055	5.85565026557681	8.79578490587986	9.48703653832302e-07	0.000185888993931901	6.04197461359877	Up
SEMA4A	0.949377592229596	7.14307432948045	8.71783023170769	1.04618997556591e-06	0.000193387230011684	6.01479063163145	Up
IRAG1	1.22922246105265	6.01525702844275	8.74163928538361	1.01532859965288e-06	0.000191291813284601	5.9923820947065	Up
ADGRE2	0.779200806914265	8.18091642566762	8.67477179327703	1.10457332619192e-06	0.000200398238457448	5.95837234367169	Up
FCGR3B	0.735178474839906	10.1916907803648	8.57004707543181	1.26157943322841e-06	0.000224721703769796	5.82139373636202	Up
TLR1	0.610399692183419	7.84303415452017	8.54609579367179	1.30073202442883e-06	0.000227558422202309	5.79900753298605	Up
CASP4	0.713114052402872	6.80127943943311	8.50863369479028	1.36459180368487e-06	0.000228811765128978	5.75420452995537	Up
CHST15	0.858412657881773	8.91203064148688	8.50102718057443	1.37796204374908e-06	0.000228811765128978	5.7366216825399	Up
FAM157B	0.963971218104354	6.41438852304249	8.47877233375796	1.41788877328219e-06	0.000231517605197426	5.71172012290296	Up
SVIL	0.736311440743796	7.41906373082991	8.45688796052023	1.45835602103039e-06	0.000232613877427145	5.6896154289136	Up
CCNJL	0.808253724163224	6.47457366279959	8.44960788780194	1.47208945600521e-06	0.000232613877427145	5.67676738244146	Up
IFNAR1	0.693804200412208	7.75149903442206	8.41628536869039	1.53673435512632e-06	0.000235033472316353	5.63568707205745	Up
LMTK2	0.653248548872668	6.90848302229877	8.41293614278287	1.54339720863107e-06	0.000235033472316353	5.63550869688605	Up
SIRPB1	0.813112412788447	7.89865794591039	8.40203761006336	1.56529247189436e-06	0.000235033472316353	5.61611046822561	Up
HRH2	0.792967533187989	7.53418770289143	8.39316450498409	1.58336319004586e-06	0.000235033472316353	5.60720140630559	Up
DENND5A	0.666478559352454	8.43371597282874	8.36838153729662	1.63502380683559e-06	0.000237139068574515	5.56916599800674	Up
TECPR2	0.829967575854025	7.59919737096772	8.35365982143412	1.66655990042627e-06	0.000237139068574515	5.55594937866381	Up
ANPEP	0.813346464677403	8.33657385390431	8.35181077375563	1.67056643966419e-06	0.000237139068574515	5.54819573533315	Up
MARCKS	0.922444857794364	6.79269758176604	8.30733553622022	1.770095851492e-06	0.000237139068574515	5.50212415496811	Up
GLT1D1	0.78065723268082	6.61767212813576	8.2946538398673	1.79962011216374e-06	0.000237139068574515	5.48587260467595	Up
BACH1	0.695255569944619	8.78123990006172	8.29879915163189	1.78991208025849e-06	0.000237139068574515	5.47812838008672	Up
LIMK2	0.931203638052336	7.81106000464089	8.2920197957232	1.80581800988248e-06	0.000237139068574515	5.47538905856548	Up
APBB1IP	0.645122541778218	7.9794440888041	8.2760984029615	1.84376866646899e-06	0.000237139068574515	5.45405346082273	Up
STX3	0.600609807972762	7.37268206628416	8.26783242407535	1.86380609168497e-06	0.000237139068574515	5.44798471123139	Up
KCNJ2	0.965886394744215	7.21899466732772	8.23872234227458	1.93623972184836e-06	0.000238332085867114	5.41275949386316	Up
PPP1R15A	0.888172268751368	5.72738144600878	8.27863846450359	1.83765755778564e-06	0.000237139068574515	5.40773731247355	Up
NOD2	0.816456352814777	7.22387429237695	8.23482459880008	1.94616381232715e-06	0.000238332085867114	5.40685399823085	Up
CPEB4	0.62559895158625	7.46589186228269	8.23584914333399	1.94354996688483e-06	0.000238332085867114	5.40631369857351	Up
PACSIN2	0.717820965026973	6.81026698110763	8.22325999567996	1.97592891014829e-06	0.00023898982139164	5.3951542897073	Up
IL6R	0.679217232362474	8.77545661168823	8.20069466775968	2.03541365233921e-06	0.000243182287219112	5.34983889399498	Up
FCGR1BP	1.20119985047235	5.14793851976777	8.33678714824989	1.70350299086497e-06	0.000237139068574515	5.34257496160503	Up
RALB	0.913431574780184	6.26284693820765	8.12756507710565	2.24166854067849e-06	0.000264597911964183	5.26500725822221	Up
ADM	1.51797886421403	4.536851333254	8.5115007277455	1.35958827947904e-06	0.000228811765128978	5.2474185849076	Up
ELAPOR1	0.723493400891975	6.75570831995623	8.04040961675458	2.51696716591789e-06	0.000293556277672591	5.15945626497289	Up
MME	0.639138273075927	8.45273060923835	8.02962253521834	2.55346749367951e-06	0.000294309659242096	5.12556396688602	Up
DOK3	0.940903004076803	7.9728963798813	8.01535160610969	2.6026247093875e-06	0.000296487375324062	5.11145092925866	Up
SLC2A3	0.815891117981824	8.16389655567664	7.98233180959164	2.72026909531626e-06	0.000306327314101304	5.06574433455128	Up
LRRK2	0.535865235927785	10.0532410831878	7.96691676456783	2.77711767085371e-06	0.000309175247969929	5.03572306506513	Stable
PELATON	1.00542999609135	6.9263306688626	7.86353275704172	3.19263466782961e-06	0.000351440919558727	4.92583384736137	Up
IFIT2	0.672783700116854	7.0984138626135	7.84917713054498	3.25537464114643e-06	0.000354365615103461	4.90481194197128	Up
GNAQ	0.647214156499711	7.49326171717567	7.81083078261345	3.42948647770974e-06	0.000358936275536018	4.84617188929284	Up
ARHGAP26	0.558023626499468	8.43727812047696	7.81451842841329	3.41231977896338e-06	0.000358936275536018	4.83854848316545	Stable
RNF149	0.653087392144323	8.54777642616208	7.80820515258166	3.44176529470378e-06	0.000358936275536018	4.8282367320595	Up
ASAP1	0.741086231977532	7.71163851314155	7.79997671328353	3.48054977808734e-06	0.000358936275536018	4.82777193280137	Up
SLC11A1	0.897159456486966	8.40020366870572	7.80603553927024	3.45194684279767e-06	0.000358936275536018	4.82589998112477	Up
RNF141	0.762141802205809	6.42956941121883	7.77790416367479	3.58690334083059e-06	0.000366050958647055	4.81591980101042	Up
RBM47	0.711132518825979	7.50668905274302	7.76252415150284	3.6630511009594e-06	0.0003699681611969	4.77923819499869	Up
ETS2	0.717538100354298	6.23417562100027	7.74913866324583	3.73072426006608e-06	0.000372958220161912	4.7767877307971	Up
TNFSF13B	0.868030711468315	5.85044926935463	7.7078171576429	3.94815819498348e-06	0.000386801058362532	4.70656025543144	Up
FFAR2	0.87041026720053	7.45246326714538	7.70041497846575	3.98851259841382e-06	0.000386885722046141	4.69485485096553	Up
CCR1	0.79338854252193	6.74206234036541	7.65662357029001	4.2364039511813e-06	0.000402951936987604	4.65056567487402	Up
TREM1	0.85199878810394	7.92921474202567	7.65983642211249	4.21767118343654e-06	0.000402951936987604	4.63215538915589	Up
IL4R	0.802904769089904	7.59288278138483	7.63358024220422	4.37338095367613e-06	0.000411575819628778	4.60183004069664	Up
TLR8	0.688550022587323	7.41964737064773	7.62737094968958	4.41109125865283e-06	0.000411575819628778	4.59638170968656	Up
APOBR	0.648521603665061	6.44939036140536	7.59922284981416	4.58643002122026e-06	0.000423898631300895	4.576689418146	Up
UBXN2B	0.646762561572261	6.67376575382584	7.54224518546237	4.96444465858649e-06	0.000454548264674503	4.49769621323873	Up
LINC02649	1.12457659583672	4.6548729199737	7.73830389961604	3.78647574087658e-06	0.000374708109427958	4.46111525189558	Up
NOTCH2	0.698252352823571	9.71647047664607	7.52561425037524	5.08092647556726e-06	0.000460905895195671	4.43206651839586	Up
USB1	0.709489544702825	6.24693923442262	7.47517018373297	5.45235291411215e-06	0.000476531608874202	4.41017027685539	Up
SLC25A44	0.599065223116197	6.78901681751153	7.47767971025342	5.43320863258601e-06	0.000476531608874202	4.40337289115219	Up
USP32	0.534772518636978	8.00129738506226	7.48761696660906	5.35809962262187e-06	0.000476531608874202	4.39277270278916	Stable
TREML2	0.884187900858797	6.01241777418507	7.44630312632695	5.67779888928457e-06	0.000476531608874202	4.36948201329744	Up
TLR4	0.621684648861422	8.6367763887928	7.46491493102423	5.53133499159961e-06	0.000476531608874202	4.35357480074364	Up
FBXL5	0.556104229864697	8.29588384844419	7.44817756373356	5.66286322118584e-06	0.000476531608874202	4.33356604585549	Stable
ZNF106	0.523166602656629	8.10034075071755	7.4446574823471	5.69094602820063e-06	0.000476531608874202	4.33204474265135	Stable
ACTN1	0.684739995876033	8.85691010827955	7.44609265125225	5.67947858427795e-06	0.000476531608874202	4.32526691279683	Up
MBOAT7	0.721499033714164	9.29585566203248	7.4267443346241	5.8361664109576e-06	0.000484550189221623	4.29453095529107	Up
FPR2	0.823612722697233	7.63737831671972	7.40018499451158	6.05877404107711e-06	0.000494880862394622	4.27523019038438	Up
TMEM154	0.580446308623282	9.19554810373307	7.39985204602453	6.06162126031995e-06	0.000494880862394622	4.25773600240354	Stable
HCG27	0.630528067898438	6.38445917200716	7.35433989648424	6.46452608971986e-06	0.000516067940053778	4.24399115787251	Up
CBL	0.555050081205087	8.80218143111281	7.37905198331867	6.24234335274653e-06	0.000505423453114527	4.23162849366524	Stable
HSPA6	0.796914327952097	6.84175883915161	7.35274376071676	6.47916266475602e-06	0.000516067940053778	4.22953238727947	Up
PLBD1	0.760320155296637	6.6413443810062	7.33110977838112	6.68105676440772e-06	0.00052363450496722	4.20533842382591	Up
CXCR2	0.701394305374663	10.1888829017344	7.34476856575016	6.55282457141442e-06	0.000517725986501186	4.17592889935852	Up
LRRC4	0.690354739950343	6.32443218021121	7.30148713622896	6.96841161582307e-06	0.000536575395125017	4.17035621310199	Up
LILRB2	0.579517095033838	7.80461154851573	7.31761733996854	6.8103474790501e-06	0.000529531541684554	4.15582409039553	Stable
PRKCD	0.569420194646159	7.11502339902083	7.27652641699191	7.2207365722051e-06	0.000538549509229811	4.11535758092387	Stable
ITGAX	0.705323616273791	9.61926219418883	7.29725979286536	7.01047775604799e-06	0.000536575395125017	4.10907543859413	Up
FAM126B	0.828202144286318	7.58437043094346	7.27309718237526	7.25615343659641e-06	0.000538549509229811	4.09929733067806	Up
MANSC1	0.934570358213838	5.05102902070785	7.29035829810393	7.07973496627259e-06	0.000537675685771881	4.08442351814857	Up
SDCBP	0.597207980997984	8.85359632748017	7.27403240786257	7.24647624141488e-06	0.000538549509229811	4.08079847793488	Up
MPZL3	0.59902129066687	6.48035955321998	7.22413471538648	7.78246226420103e-06	0.000568990916435653	4.05957355365732	Up
DNAJC3	0.627087337148478	6.722670366088	7.20787117273306	7.96613273411318e-06	0.000573854429383138	4.03224658717938	Up
ENTPD1	0.722667800132019	7.75830411685224	7.22446476756414	7.77878174184523e-06	0.000568990916435653	4.026280446917	Up
THBS1	0.843055990822682	6.73017950653829	7.20096104315311	8.04555972434271e-06	0.000575345610360478	4.02265014586092	Up
NUMB	0.59074078729352	8.23202956609386	7.21893191242113	7.84072543138563e-06	0.000569004348528037	4.00935980822966	Up
FLOT1	0.691470866085058	6.32423088299975	7.17319075798594	8.37334010679313e-06	0.000594446471204727	3.99070241398834	Up
LILRA6	0.99522058833946	6.53293931605051	7.15582086938089	8.58554601997243e-06	0.000605126578112733	3.96105194633987	Up
GK	0.664219139789579	6.19460713536842	7.10345351360626	9.26058298438396e-06	0.000635124891545997	3.89629121943855	Up
HIF1A	0.573301841375292	7.12278161419914	7.10692296902055	9.21416233349764e-06	0.000635124891545997	3.87644751685606	Stable
SSH2	0.615857800541674	9.92912011637159	7.13586813449495	8.83637251097449e-06	0.000618356724928694	3.87560663907623	Up
SLC6A6	0.599302546222555	9.10345089089356	7.10271645431242	9.27047662458687e-06	0.000635124891545997	3.83151929208004	Up
CSNK1A1L	1.43793631813732	4.20256712457201	7.50511320256583	5.22852689909e-06	0.000469943835141144	3.80331000165165	Up
NFAM1	0.690972896624046	8.94535815727045	7.02284012958593	1.04120961115845e-05	0.00070838406670273	3.7160467027887	Up
CNTNAP3	0.859401370310838	5.59096580592914	6.96789627822041	1.12833903198347e-05	0.000741334914603124	3.70108406996838	Up
PTPRJ	0.61245647872769	9.30892825183633	7.00719327259304	1.06527078543955e-05	0.000719755716203538	3.69045120576354	Up
SIPA1L2	0.828236606435908	5.24506604498108	6.98573077759139	1.09923890077995e-05	0.000737619418557615	3.68981750755169	Up
NOTCH2NLA	0.638101762995226	7.22418859932648	6.97152158443286	1.12235821094557e-05	0.000741334914603124	3.67595958440862	Up
NAIP	0.664147701047027	7.49496072125947	6.97465384220997	1.11721786714467e-05	0.000741334914603124	3.6706790952243	Up
CPD	0.55557262657355	8.44200832960605	6.96385632423115	1.13504376023751e-05	0.000741334914603124	3.63506521030825	Stable
RASGRP4	0.75837477232841	7.52859724861665	6.95066197102072	1.15723712276041e-05	0.000745885006031827	3.63174449859729	Up
IL17RA	0.666536101292531	9.41047962163097	6.95818755912411	1.14452300453171e-05	0.000742575620887232	3.61749968783994	Up
TLR6	0.567398381952194	7.47232822236697	6.93607308470172	1.18231293205274e-05	0.000757066653288933	3.61464843393296	Stable
DDX60L	0.576392976804187	7.83193203142049	6.91617892762046	1.2174401675254e-05	0.000774062810113102	3.57707816368177	Stable
MX2	0.569614736927335	8.31690258730372	6.91216661091014	1.22465791127417e-05	0.000774062810113102	3.56104269396306	Stable
LRG1	1.13241767941226	5.8647648159307	6.84508080726396	1.35230198567071e-05	0.000835281001152896	3.53310734354999	Up
QPCT	0.917321810723022	5.79906819840441	6.84287869551897	1.35672387013701e-05	0.000835281001152896	3.52985812469243	Up
IGF2R	0.611542054277164	10.4664697188514	6.89013673106795	1.2651042399968e-05	0.000794501682003118	3.51436468879741	Up
JAML	0.614310769741815	9.06749596321265	6.86994924901665	1.3034127184985e-05	0.000813346140326738	3.48945940466924	Up
KLF7	0.563371445835836	7.15458671494244	6.82789412522271	1.38722313179312e-05	0.000835281001152896	3.46702219431074	Stable
CAMK1D	0.476301006859138	7.7133917441415	6.82668321166812	1.38971933436687e-05	0.000835281001152896	3.44600788921593	Stable
RAB11FIP1	0.524641201062973	9.03579764349547	6.83168639373081	1.37943636888801e-05	0.000835281001152896	3.43254373922567	Stable
CFLAR	0.502864539994491	9.80112874186903	6.83204045499038	1.37871173403971e-05	0.000835281001152896	3.42807674750528	Stable
STX11	0.550200567116997	6.99945868082815	6.78269401771083	1.4837055039609e-05	0.000860110226171891	3.40526119625488	Stable
MAPK14	0.549823985531058	8.14312063950426	6.80186787922541	1.44193657828984e-05	0.00085325371586002	3.398860129174	Stable
ZFP36L1	0.667243013961526	8.64054067912462	6.80105918791566	1.4436728496907e-05	0.00085325371586002	3.39156080342091	Up
S100A8	1.21519438334573	7.90052690553128	6.78367158551351	1.48154521626872e-05	0.000860110226171891	3.37816221748166	Up
CSF2RB	0.69264276665966	9.94155400828757	6.79776392033805	1.45077077625548e-05	0.00085325371586002	3.37628855305539	Up
IFITM2	0.792805825589337	9.54851909219196	6.79605826752572	1.45445922781079e-05	0.00085325371586002	3.37508630480304	Up
HCAR2	1.05709444494218	6.11967945673839	6.72947890708825	1.60648966682364e-05	0.000915045306155302	3.35983727353341	Up
CCPG1	0.565698831383639	7.19760433857757	6.75379931965915	1.54908992444053e-05	0.000891668364856317	3.35497092833638	Stable
MYADM	0.724786004603633	8.30552262754761	6.75067233410497	1.55634674278279e-05	0.000891668364856317	3.31995244835349	Up
TLR5	1.06864976838951	5.3102687837432	6.69207446451723	1.69920938938256e-05	0.000951265965016051	3.30057736186271	Up
RUBCNL	0.66881537536696	6.41354515798023	6.68460866367362	1.71838538516095e-05	0.000956535319228513	3.28359403063249	Up
CREBBP	0.479794420933807	8.96097410125108	6.70946822948871	1.65540703306332e-05	0.000937457959706439	3.25035640497881	Stable
MSL1	0.536322808993017	8.27326308984917	6.70288098717064	1.67185317059133e-05	0.000941330201855358	3.24761802303795	Stable
FRY	0.543693286370211	7.79927698970278	6.65531057127295	1.79588130501731e-05	0.000986148398951624	3.1875428183521	Stable
RTN3	0.579437132069025	7.93205430872901	6.65582999186448	1.79447562257451e-05	0.000986148398951624	3.18269569587293	Stable
AGO4	0.499753775129033	7.87944798648967	6.65313493530473	1.80178180476004e-05	0.000986148398951624	3.18085335934105	Stable
ITPRIP	0.558021769143116	7.9309162131351	6.64400475017393	1.82676836570667e-05	0.000994269426601572	3.16534482786002	Stable
MX1	0.559102197104397	6.87733661841873	6.61169124272353	1.91818917958384e-05	0.00102691253510289	3.16294797552356	Stable
SLC12A6	0.614888784327245	8.67584598501332	6.63747390663257	1.84486625936933e-05	0.000998572085250904	3.1442516252586	Up
MMP25	0.811334922028747	9.27199609468813	6.61851563016991	1.89848597013593e-05	0.00102194873897921	3.10778558523913	Up
GNG10	1.08543238787952	5.22150463515752	6.54886809832146	2.11007573245893e-05	0.00109959638036703	3.09073073431101	Up
BOD1L1	0.519073146002019	7.83027660681486	6.57337020797766	2.03292460119448e-05	0.00108242186510338	3.06357412180231	Stable
ZFP36	0.676004896113708	7.90492551681401	6.56363426642367	2.06321704715817e-05	0.00108673857048433	3.04559456529812	Up
SRPK1	0.603964335506324	6.56998808275246	6.52579711923458	2.1855570450335e-05	0.00112694223001017	3.04011355842811	Up
KRT23	0.927277799982643	5.85566262619566	6.50068531803277	2.27097336971005e-05	0.00116485476979316	3.03312499093851	Up
IFNAR2	0.482538365083285	8.21478631470532	6.55567343173595	2.08834140376936e-05	0.00109408987875553	3.02713389943795	Stable
