"gene_name","T1_value","T2_value","T3_value","change_type"
"ZNF438",0,0.946233441,-0.160439779695271,"Up"
"FCGR1BP",0,1.010885337,-0.38840952089426,"Up"
"CYSTM1",0,1.582773284,-0.282608413736818,"Up"
"IL1B",0,0.9792689,-0.37010543307756,"Up"
"MAFB",0,0.921922316,0.350171290553652,"Up"
"SFMBT2",0,-0.705637038,-0.0375656067579344,"Down"
"EOMES",0,-0.907026491,0.225895786987541,"Down"
"ADGRG5",0,-1.073350917,0.027033382252033,"Down"
"CHST12",0,-0.72736751,0.0752080001628155,"Down"
"IL2RB",0,-1.00770777,0.324198036824249,"Down"
"CD300E",0,0.828846418,0.116692079613681,"Up"
"PRR5L",0,-0.773296903,0.226882184070858,"Down"
"TLR5",0,1.141561208,-0.0915844617450565,"Up"
"ST3GAL4",0,0.780367355,-0.355524368068719,"Up"
"ADGRG1",0,-1.259470822,0.385940741751804,"Down"
"DHRS13",0,0.978429923,-0.596471875960161,"Up"
"SYNE1",0,-0.86226995,0.00536954062032713,"Down"
"GNG10",0,0.901814542,-0.126781281096721,"Up"
"SLC37A2",0,0.630441589,0.136086821247988,"Up"
"ARHGEF10L",0,0.659911967,-0.0212489932251065,"Up"
"KLF4",0,0.633630559,0.131486991044279,"Up"
"PAFAH2",0,-0.652201792,0.0878178377113814,"Down"
"DTHD1",0,-1.223362248,0.175718229980211,"Down"
"SMAD7",0,-0.820394394,0.119336309239309,"Down"
"TARP",0,-0.901227793,0.369818282150106,"Down"
"FCGR1A",0,0.844301236,-0.342944156473576,"Up"
"SEMA4C",0,-0.737359561,0.155326382011416,"Down"
"SH2B2",0,1.023718929,-0.126688841627034,"Up"
"ATP10A",0,-0.729733073,0.100951955805745,"Down"
"PROK2",0,1.578323646,-0.834463052090451,"Up"
"LILRA5",0,1.487172763,-0.103623055218157,"Up"
"ID2",0,-0.7993173,-0.0272700481180133,"Down"
"SPON2",0,-1.399931325,0.259190151839278,"Down"
"CRIM1",0,-0.873664878,0.11733191517823,"Down"
"HOMER3",0,0.868767317,-0.0253868828360035,"Up"
"KREMEN1",0,1.494080765,-0.705457138113094,"Up"
"ARL4C",0,-0.784289829,0.193798259740663,"Down"
"SYTL2",0,-0.919852638,0.114529118846812,"Down"
"KLRD1",0,-1.222334713,0.304488821106534,"Down"
"GK5",0,-0.888417467,0.266527375203629,"Down"
"SLC24A4",0,0.765489139,0.120919032167638,"Up"
"MYBL1",0,-0.950953518,0.407961924760064,"Down"
"FUT7",0,1.148295892,-0.129713558790505,"Up"
"TGFBR3",0,-1.031517775,0.323471547941276,"Down"
"CCDC149",0,0.908427372,-0.0815450327395482,"Up"
"NLRC4",0,0.856621248,-0.130374819670357,"Up"
"TMEM181",0,-0.788126372,-0.017698097756738,"Down"
"NQO2",0,0.846130527,-0.353771938573848,"Up"
"CD1D",0,0.812664756,0.255845832763035,"Up"
"IRAG1",0,1.283219991,-0.391014105648266,"Up"
"PRF1",0,-1.099662785,0.378622764335063,"Down"
"GBP4",0,-0.681658207,0.222058937095454,"Down"
"RUBCNL",0,0.736166021,-0.284779651547657,"Up"
"ASGR1",0,0.794532518,-0.181524596544393,"Up"
"NFATC2",0,-0.814379882,0.114104428024921,"Down"
"KIAA1671",0,-0.762591763,0.34917881553206,"Down"
"ANXA3",0,1.465739663,-1.14520765733907,"Up"
"TBX21",0,-0.994854441,0.371227920693286,"Down"
"LMNB1",0,0.810023756,-0.209835226333958,"Up"
"GNPTAB",0,-0.629818495,0.141615168828918,"Down"
"MGST1",0,0.845806224,-0.117855159706852,"Up"
"FCRL6",0,-1.044739611,0.34780427484958,"Down"
"TMEM45B",0,0.996252681,-0.537112007093125,"Up"
"SLAMF7",0,-0.787666072,0.233573326673282,"Down"
"GBP5",0,-0.646771708,0.120089080125185,"Down"
"PRR33",0,0.64697268,-0.0545596239069921,"Up"
"RUNX3",0,-0.718910902,0.262073159029717,"Down"
"PLSCR1",0,0.905343502,-0.296329288688148,"Up"
"GZMB",0,-1.172999188,0.416443391815759,"Down"
"APBA2",0,-0.71773931,0.0936102799283267,"Down"
"PTCH1",0,-0.820588487,0.23071928555941,"Down"
"FCER1G",0,1.080682593,0.0806503056401855,"Up"
"S1PR5",0,-1.037914631,0.381566654536181,"Down"
"CD14",0,1.163463372,-0.118930193059165,"Up"
"PRKCQ",0,-0.689750639,0.0260267703913586,"Down"
"SOCS3",0,1.414343869,-0.299347215020473,"Up"
"OSBPL5",0,-0.796792704,0.275939159326898,"Down"
"DOK4",0,0.862844462,-0.227488616564448,"Up"
"NIBAN2",0,0.751345463,0.00420511399895851,"Up"
"GALK1",0,0.751933311,-0.114687879395319,"Up"
"PRKCH",0,-0.625570545,0.196981551224359,"Down"
"LINC00299",0,-1.142115508,-0.0371437783689026,"Down"
"SMARCD3",0,0.699104097,-0.156324323595673,"Up"
"TNIK",0,-0.611088773,0.0907717189108848,"Down"
"LINC00963",0,0.78948242,-0.265098369244297,"Up"
"BCL2A1",0,0.683301551,0.0296576480563191,"Up"
"ZNF831",0,-0.651663179,0.0725249159432124,"Down"
"RELB",0,0.741362467,-0.0521341004879634,"Up"
"PPCDC",0,0.734413491,-0.0379432532707682,"Up"
"NAIPP2",0,0.610870013,-0.879805774351836,"Up"
"TNFSF13B",0,0.683691466,-0.174329800431734,"Up"
"NMT2",0,-0.630470115,-0.0861949156459394,"Down"
"RNF144A",0,-0.616814899,-0.012920237609757,"Down"
"HEG1",0,-0.881005703,0.163192846439168,"Down"
"SBK1",0,-0.67102979,0.227918087706744,"Down"
"LINC02908",0,0.590382417,-0.305834728362381,"Up"
"SLFN13",0,-0.98490933,0.0177864366430471,"Down"
"SLPI",0,1.511404292,-0.219892937423954,"Up"
"ORM1",0,1.897633847,-0.323829772058139,"Up"
"ARL11",0,0.71017099,-0.257951250659287,"Up"
"CTSL",0,0.685518623,0.450711929965516,"Up"
"SLX1B",0,2.802991419,-1.30592975229377,"Up"
"GNLY",0,-1.123178858,0.342573765373482,"Down"
"CDKN2D",0,0.66263784,-0.0116108393314436,"Up"
"KCNJ2",0,0.683439492,-0.440152794683285,"Up"
"FCAR",0,0.999796037,-0.518892795244543,"Up"
"SLC22A4",0,0.94470411,-0.484283730885806,"Up"
"HRH2",0,1.009054233,-0.310703359022352,"Up"
"TCN2",0,1.038139441,-0.0693690446797022,"Up"
"ARHGAP24",0,0.704280868,-0.100016251178925,"Up"
"ZNF385A",0,0.711960768,0.108115088827293,"Up"
"CACNA2D2",0,-1.09106674,0.345692656137182,"Down"
"TFEC",0,0.72829755,0.0945332862605888,"Up"
"TSPOAP1",0,-1.16135428,0.129503265875179,"Down"
"TXK",0,-0.86963074,-0.0660879667170926,"Down"
"DENND2D",0,-0.597535564,0.0343716591035408,"Down"
"HMOX1",0,0.762449267,0.127050264954401,"Up"
"STX16-NPEPL1",0,-0.685454337,-0.406905885087641,"Down"
"BST1",0,0.886832885,-0.334462308991103,"Up"
"TP53I11",0,1.042091624,-0.204184308634915,"Up"
"PELATON",0,1.120761896,0.0390673926862926,"Up"
"TSEN54",0,-0.718864278,0.137003069110401,"Down"
"RIN2",0,0.62569164,0.0931887813974224,"Up"
"IER5L",0,0.875798121,-0.114959114354257,"Up"
"PDK4",0,0.844774203,0.378917663876401,"Up"
"S100A12",0,1.1891845,-0.31942013692805,"Up"
"CD86",0,0.626208436,0.109824176662309,"Up"
"LINC02975",0,0.872994803,-0.303669072670853,"Up"
"OAF",0,0.726446721,0.0427542001066197,"Up"
"PDGFD",0,-1.138154771,0.380938928200037,"Down"
"NPIPB15",0,-0.685338811,0.0211515017253814,"Down"
"CASP5",0,0.976118496,-0.875517678762317,"Up"
"MARCKS",0,0.912013495,-0.347374601163654,"Up"
"TTC38",0,-0.886340212,0.259882577314088,"Down"
"ADM",0,1.160272574,-0.495805246338586,"Up"
