	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
NAIPP2	-0.879805774351836	4.58771678731937	-7.62103983858791	1.71890282100104e-05	0.257474453557746	-2.52277156656485	Stable
FAM157C	-0.817488697211095	5.99556174021706	-4.87211603932688	0.000635236834261536	0.854474666675172	-2.63334021512008	Stable
MT-ND4L	0.65616174750657	7.89809248284273	5.99969713620078	0.000128064562958176	0.854474666675172	-2.73275550572603	Stable
TENT5C	0.328426033150953	5.06862384709005	4.23529413991775	0.00169982327000031	0.854474666675172	-2.90327416075885	Stable
NFAT5	-0.349439907716644	6.08949803200195	-4.04820340538878	0.00229400775160442	0.854474666675172	-2.94582485780773	Stable
WDFY3	-0.765467384299917	6.65198177772112	-4.05787325928003	0.00225848411588803	0.854474666675172	-2.97762387035291	Stable
PROK2	-0.834463052090451	6.24389942240099	-3.97129767007154	0.00259827552028529	0.854474666675172	-2.99567442810983	Stable
SCAND2P	-0.541021789740816	4.52056018597983	-4.38061087719609	0.00135111095319662	0.854474666675172	-3.01148422067237	Stable
HCAR2	-0.601634221689804	6.4052404164848	-3.89899319259392	0.00292303758082878	0.854474666675172	-3.01973682931994	Stable
KCNJ2	-0.440152794683285	6.34041906007316	-3.85426116451072	0.0031449842592305	0.854474666675172	-3.03476409078568	Stable
CLK4	-0.349307752729824	5.33366465130574	-3.87124505779363	0.00305870945281948	0.854474666675172	-3.04235237558691	Stable
PKN2	-0.377673572703435	6.24742315431236	-3.83514678365498	0.00324513046547221	0.854474666675172	-3.04951698573974	Stable
ZNF117	-0.622843687842549	5.12959333240481	-3.99569380129058	0.00249741776847011	0.854474666675172	-3.07339054793087	Stable
HCAR3	-0.6170136904199	6.43069679528449	-3.75666611572263	0.00369253953413919	0.854474666675172	-3.08989206725844	Stable
TECPR2	-0.564896038570135	6.95122699113465	-3.80166602731867	0.00342865323179971	0.854474666675172	-3.12447823790054	Stable
MXD3	-0.413071760021992	5.01948443490344	-3.9004501471733	0.00291609019478629	0.854474666675172	-3.13827788794023	Stable
DIABLO	0.481028886761819	4.46528914467179	4.10213280267539	0.00210310835653259	0.854474666675172	-3.17084140843829	Stable
DHRS13	-0.596471875960161	4.75082464266262	-4.18161937405145	0.00185160562951081	0.854474666675172	-3.17197971917543	Stable
ZNF333	-0.34247234228107	4.9705187933305	-3.72901988592949	0.00386508528314913	0.854474666675172	-3.17937171807832	Stable
GK	-0.472006989073377	6.03898257483612	-3.5191947633292	0.00548128636625647	0.854474666675172	-3.19618655015009	Stable
LUCAT1	-0.591425638991264	6.18548217085395	-3.50642037789156	0.00559994935967527	0.854474666675172	-3.20746480863804	Stable
UHRF1BP1L	-0.340565911019125	5.31040535001152	-3.56652349697074	0.0050638690893972	0.854474666675172	-3.20932783054734	Stable
TTN	-0.348383025913587	4.48475210753168	-3.87391722936536	0.00304536220796322	0.854474666675172	-3.22889777225294	Stable
RELCH	-0.288789122033407	5.44566574796574	-3.46930362433955	0.0059600507373455	0.854474666675172	-3.23135794299273	Stable
GUSBP11	-0.412544346280195	6.06127224839509	-3.44989401056716	0.00615781395004046	0.854474666675172	-3.23392885206798	Stable
FAM136A	0.434876090027506	4.08638182921785	4.09135985229275	0.0021398637227845	0.854474666675172	-3.23656878326774	Stable
CLCN6	-0.295102532692859	4.81298971341183	-3.60956789111898	0.00471284974876345	0.854474666675172	-3.24673734177497	Stable
REV1	-0.329470977505921	4.62656754868269	-3.67854844024957	0.00420209009074001	0.854474666675172	-3.25652203449047	Stable
CCNL1	-0.333436505488036	7.05078298922491	-3.61273954697411	0.00468800547968756	0.854474666675172	-3.26114298729	Stable
PCGF3	-0.29689201960427	6.17767294705732	-3.38497885898696	0.00686990163079071	0.854474666675172	-3.27422882627599	Stable
PIGB	-0.344557371232756	4.48481881922747	-3.75218457613488	0.00371995516500733	0.854474666675172	-3.27672447908176	Stable
RBM25	-0.285825202809941	7.17798412352234	-3.6247859274078	0.00459487605274804	0.854474666675172	-3.28807540082736	Stable
VNN3P	-0.447820168794022	5.53925767578276	-3.38834265440137	0.00683099283315876	0.854474666675172	-3.29076198203399	Stable
