"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change","change_type"
"MAFB",0.350171290553652,5.31174635720196,3.26926702050911,0.00835713774968278,0.854474666675172,-3.37855894215714,"Stable","up_stable"
"SLC37A2",0.136086821247988,4.92563367696533,1.58785097019605,0.1431698789054,0.869511647776966,-4.37081678407691,"Stable","up_stable"
"KLF4",0.131486991044279,4.64641485401231,1.50471656669374,0.163077183643653,0.872378834614433,-4.42118130698908,"Stable","up_stable"
"CD1D",0.255845832763035,4.71855848931731,2.01926848358381,0.0708503127534245,0.854474666675172,-4.14248925819335,"Stable","up_stable"
"CTSL",0.450711929965516,3.10702500249087,3.8964154030245,0.0029353720379084,0.854474666675172,-3.7728992088577,"Stable","up_stable"
"RIN2",0.0931887813974224,3.50302352282469,0.805268511844982,0.439251566493954,0.929213770071663,-4.67616373907072,"Stable","up_stable"
"PDK4",0.378917663876401,4.50543639089557,2.4373580384844,0.0348343508464685,0.854474666675172,-3.9424618926219,"Stable","up_stable"
"CD86",0.109824176662309,5.11888620798929,0.957953356564421,0.360504336650613,0.912523126387402,-4.68826789546742,"Stable","up_stable"
"ICOSLG",0.342284118698621,4.18897327270528,2.77127759264685,0.0196106942639685,0.854474666675172,-3.82582820830056,"Stable","up_stable"
"DAGLA",0.439842734986398,2.23274409591913,2.92901020206433,0.0149502799762596,0.854474666675172,-4.2194466994798,"Stable","up_stable"
"HNMT",0.181412107037725,3.13549843321182,1.22079613950858,0.24995755133443,0.877509528594516,-4.55641858256401,"Stable","up_stable"
"ZNF296",0.199659837451179,3.11148155494836,1.46825049845555,0.172544519576653,0.872378834614433,-4.48291040654672,"Stable","up_stable"
"VENTX",0.102864070664832,3.386456466729,0.708158964816958,0.494900152350724,0.939319485816206,-4.69206438110677,"Stable","up_stable"
"CD68",0.0649775050674597,7.83481723347261,0.496625699678177,0.630107252378157,0.964358075733465,-4.81349635688956,"Stable","up_stable"
"NAPSB",0.21096854718589,5.70441304392373,1.62946867408467,0.134034658610967,0.860033153012742,-4.33572670490563,"Stable","up_stable"
"LGALS3",0.130309234610011,5.65835615598155,1.03415321620498,0.325244087604838,0.904183082357899,-4.66345867115986,"Stable","up_stable"
"GPBAR1",0.169718940172261,4.28365745943309,1.28407740444475,0.227850824785159,0.874996140160363,-4.52988329470982,"Stable","up_stable"
"ZNF703",0.335632532842793,3.44921778171798,2.50249554130201,0.0311479229153151,0.854474666675172,-4.08354599774299,"Stable","up_stable"
"MALSU1",0.52782570783271,2.94944303826468,3.1649383904024,0.00998114785693132,0.854474666675172,-3.99842383407746,"Stable","up_stable"
"TRMT61A-DT",0.727090250557361,1.11347895561932,2.14073053301695,0.0577580444604495,0.854474666675172,-4.49433096273111,"Stable","up_stable"
"TNFRSF8",0.229342192556204,3.97454253439282,1.245188119617,0.241238806319338,0.875881852708901,-4.54578531678565,"Stable","up_stable"
"MRPL33",0.105119217443786,2.88068620116132,0.688826462602858,0.506481057495849,0.94328712694859,-4.67397795749924,"Stable","up_stable"
"NUDT1",0.432770029652659,2.86792692674979,2.12513678645847,0.0592996649566344,0.854474666675172,-4.30571264876797,"Stable","up_stable"
"C4orf48",0.182804511177123,2.53237615206062,1.17270881955982,0.267887862469393,0.883463736664252,-4.57155406585783,"Stable","up_stable"
"SLC5A10",0.712100387949939,1.44320211306238,2.84673360779395,0.0172221103943611,0.854474666675172,-4.37314773861257,"Stable","up_stable"
"CCRL2",0.372959041666168,2.08954053642944,2.22059955434058,0.0504458709970115,0.854474666675172,-4.37212938688927,"Stable","up_stable"
"CTSZ",0.0219403017152153,8.27219723414463,0.152672809899468,0.881669950186501,0.992694209599229,-4.84540377765855,"Stable","up_stable"
"CNTLN",0.458865766108482,1.12034292945842,2.05362337506957,0.0668862779739126,0.854474666675172,-4.49148629701156,"Stable","up_stable"
"ZNF438",-0.160439779695271,3.99740830210552,-1.63102208090127,0.133703955262789,0.860033153012742,-4.39085487573055,"Stable","up_down"
"FCGR1BP",-0.38840952089426,3.99128230860361,-3.30260659678324,0.0078974487037887,0.854474666675172,-3.72656002355203,"Stable","up_down"
"CYSTM1",-0.282608413736818,4.61018806784731,-1.52331326819516,0.158425229245504,0.872378834614433,-4.4233664063346,"Stable","up_down"
"IL1B",-0.37010543307756,5.2410619860604,-3.18080747079204,0.00971466849249714,0.854474666675172,-3.45626107045657,"Stable","up_down"
"CD300E",0.116692079613681,6.88942004987541,1.1669215348598,0.270113053364763,0.884601038329894,-4.59396759141634,"Stable","up_down"
"TLR5",-0.0915844617450565,4.33490052052315,-0.569728118647475,0.581339508283457,0.957243531421564,-4.7667064138551,"Stable","up_down"
"ST3GAL4",-0.355524368068719,4.71558965502828,-3.25898619481441,0.00850436718928511,0.854474666675172,-3.51452988293365,"Stable","up_down"
"DHRS13",-0.596471875960161,4.75082464266262,-4.18161937405145,0.00185160562951081,0.854474666675172,-3.17197971917543,"Stable","up_down"
"GNG10",-0.126781281096721,5.51167970932194,-1.03812329100437,0.323480182403201,0.904183082357899,-4.65800080257798,"Stable","up_down"
"ARHGEF10L",-0.0212489932251065,4.39879258674507,-0.231134335206851,0.821835728748606,0.989668455674251,-4.84112664721061,"Stable","up_down"
"FCGR1A",-0.342944156473576,4.17087295385116,-2.68495017925271,0.0227541346134235,0.854474666675172,-3.90537918721953,"Stable","up_down"
"SH2B2",-0.126688841627034,4.78831662464715,-0.840550196817749,0.420096293950511,0.924050724298876,-4.71597426597856,"Stable","up_down"
"PROK2",-0.834463052090451,6.24389942240099,-3.97129767007154,0.00259827552028529,0.854474666675172,-2.99567442810983,"Stable","up_down"
"LILRA5",-0.103623055218157,5.98454641370328,-0.510533210052238,0.62067428963381,0.963328171632457,-4.85957650822009,"Stable","up_down"
"HOMER3",-0.0253868828360035,3.96145653752646,-0.18805750432316,0.8545644746604,0.991546993856268,-4.80326836612539,"Stable","up_down"
"KREMEN1",-0.705457138113094,4.76989213649839,-2.80485357331905,0.018509217693528,0.854474666675172,-3.79303203112415,"Stable","up_down"
"SLC24A4",0.120919032167638,5.61884361644984,1.05735432119344,0.315037667131234,0.904183082357899,-4.65145224165323,"Stable","up_down"
"FUT7",-0.129713558790505,4.97264903235836,-0.715865830642685,0.490329302933357,0.938664129068758,-4.76482150582082,"Stable","up_down"
"CCDC149",-0.0815450327395482,3.14295623018196,-0.550177899340856,0.594181402332278,0.958893864611817,-4.7027197104213,"Stable","up_down"
"NLRC4",-0.130374819670357,4.7883705033677,-0.952838923900011,0.362967048105462,0.912570549376601,-4.67638692083769,"Stable","up_down"
"NQO2",-0.353771938573848,4.58780789839217,-2.52290556876219,0.0300740561207535,0.854474666675172,-3.90422117288971,"Stable","up_down"
"IRAG1",-0.391014105648266,5.84685803411419,-2.012911228951,0.0716077801018261,0.854474666675172,-4.10033522694304,"Stable","up_down"
"RUBCNL",-0.284779651547657,5.87908612521333,-2.52614185856323,0.0299071738988586,0.854474666675172,-3.76950673335077,"Stable","up_down"
"ASGR1",-0.181524596544393,2.88725135017743,-1.37770194888795,0.198118580292381,0.872378834614433,-4.51916805512819,"Stable","up_down"
"ANXA3",-1.14520765733907,4.51857799588833,-4.02812523621769,0.00236965364959965,0.854474666675172,-3.44683323132758,"Stable","up_down"
"LMNB1",-0.209835226333958,5.681473840373,-1.64550604467667,0.130655350094068,0.860033153012742,-4.32720003413346,"Stable","up_down"
"MGST1",-0.117855159706852,2.80310348839795,-0.82569094664064,0.428093902317859,0.927588393290788,-4.64302208119583,"Stable","up_down"
"TMEM45B",-0.537112007093125,2.3222464043877,-2.89458616286948,0.0158614656053676,0.854474666675172,-4.25518478976333,"Stable","up_down"
"PRR33",-0.0545596239069921,6.47513237519118,-0.541984675967757,0.599607532679401,0.95930410789632,-4.84929309711126,"Stable","up_down"
"PLSCR1",-0.296329288688148,4.8252312875336,-1.9165487865865,0.084063822512062,0.854474666675172,-4.20024830239763,"Stable","up_down"
"FCER1G",0.0806503056401855,7.68276092923806,0.486187132529423,0.637233525464436,0.964358075733465,-4.82726412752785,"Stable","up_down"
"CD14",-0.118930193059165,7.94559483404513,-0.673206021831067,0.515957466103191,0.945038748442125,-4.77098304488631,"Stable","up_down"
"SOCS3",-0.299347215020473,5.19828194325181,-1.23147916204332,0.246108145615571,0.875913265932986,-4.55752875985727,"Stable","up_down"
"DOK4",-0.227488616564448,2.36905517578998,-1.46596262645145,0.173154016808391,0.872378834614433,-4.51655906503263,"Stable","up_down"
"NIBAN2",0.00420511399895851,5.05437199747842,0.0331132275099605,0.974230988032546,0.997751640901045,-4.89984861183215,"Stable","up_down"
"GALK1",-0.114687879395319,4.43106677822569,-0.873332790028578,0.402812807666622,0.920230034965063,-4.69298599791081,"Stable","up_down"
"SMARCD3",-0.156324323595673,4.57263311876,-1.27732211682441,0.230131687697874,0.875122405814658,-4.53330890132731,"Stable","up_down"
"LINC00963",-0.265098369244297,5.77007730149872,-2.01343728027748,0.0715448121063638,0.854474666675172,-4.09693075881473,"Stable","up_down"
"BCL2A1",0.0296576480563191,4.60034834648252,0.251263521842657,0.80665978631532,0.988560032491616,-4.85501929013179,"Stable","up_down"
"RELB",-0.0521341004879634,5.32521263622279,-0.413121300315156,0.688170919287893,0.973897347390978,-4.87059238407893,"Stable","up_down"
"PPCDC",-0.0379432532707682,4.81849235671576,-0.297626723325739,0.772033423589066,0.983458659637982,-4.862928512888,"Stable","up_down"
"NAIPP2",-0.879805774351836,4.58771678731937,-7.62103983858791,1.71890282100104e-05,0.257474453557746,-2.52277156656485,"Stable","up_down"
"TNFSF13B",-0.174329800431734,5.6822979355788,-1.5140304102472,0.160732669375427,0.872378834614433,-4.40535434556523,"Stable","up_down"
"LINC02908",-0.305834728362381,4.69314321929066,-2.89014843092602,0.0159829464543601,0.854474666675172,-3.68030528424233,"Stable","up_down"
"SLPI",-0.219892937423954,4.22543961026738,-0.739409088815135,0.476529410302576,0.936529915808567,-4.70915108165302,"Stable","up_down"
"ORM1",-0.323829772058139,2.15709137421743,-0.782499001642228,0.45191681723384,0.932533683061812,-4.62312123048757,"Stable","up_down"
"ARL11",-0.257951250659287,4.84745114153839,-2.0240450267739,0.0702861724588187,0.854474666675172,-4.13304823512086,"Stable","up_down"
"SLX1B",-1.30592975229377,0.746490557682035,-1.72088092310264,0.115774300364533,0.857265311192949,-4.56635069977534,"Stable","up_down"
"CDKN2D",-0.0116108393314436,6.39555067221418,-0.104111506093972,0.91912379673982,0.993813644587913,-4.92469103240111,"Stable","up_down"
"KCNJ2",-0.440152794683285,6.34041906007316,-3.85426116451072,0.0031449842592305,0.854474666675172,-3.03476409078568,"Stable","up_down"
"FCAR",-0.518892795244543,4.99460602749092,-2.78415439323188,0.0191806842453923,0.854474666675172,-3.71642501495674,"Stable","up_down"
"SLC22A4",-0.484283730885806,4.10915199520792,-2.59446255501568,0.026590578189838,0.854474666675172,-3.97085876396958,"Stable","up_down"
"HRH2",-0.310703359022352,7.59260704484943,-1.90181793872338,0.0861377092382341,0.854474666675172,-4.19778418019503,"Stable","up_down"
"TCN2",-0.0693690446797022,2.33142115443481,-0.351525008946612,0.732433614710283,0.978361528140798,-4.67897610424234,"Stable","up_down"
"ARHGAP24",-0.100016251178925,3.02536732559158,-0.758325445939576,0.465621287126929,0.935592978528087,-4.66452990058242,"Stable","up_down"
"ZNF385A",0.108115088827293,5.98464459065888,0.87542857123328,0.401724809455103,0.920230034965063,-4.73635504040753,"Stable","up_down"
"TFEC",0.0945332862605888,3.95145893594159,0.705324393518379,0.496587897618871,0.940369765876442,-4.72124236753517,"Stable","up_down"
"HMOX1",0.127050264954401,5.94695299096305,0.952429551617549,0.363164694154881,0.912600049180848,-4.70264800831675,"Stable","up_down"
"BST1",-0.334462308991103,6.24746055799905,-2.18834369451971,0.0532849440426343,0.854474666675172,-3.98249617514751,"Stable","up_down"
"TP53I11",-0.204184308634915,5.88579652623169,-1.11442796048313,0.290968218702238,0.892738971107743,-4.62448764402512,"Stable","up_down"
"PELATON",0.0390673926862926,6.72258516855126,0.205570731133984,0.841219567535968,0.990534775357965,-4.91198910990193,"Stable","up_down"
"IER5L",-0.114959114354257,3.83141496584079,-0.671943904880922,0.516727767722468,0.945293750942213,-4.71783939312076,"Stable","up_down"
"S100A12",-0.31942013692805,5.73629340319651,-1.48654900937027,0.167736025570706,0.872378834614433,-4.42202084441315,"Stable","up_down"
"LINC02975",-0.303669072670853,4.23501202238765,-1.73789937378261,0.112633962966492,0.857265311192949,-4.33085821306132,"Stable","up_down"
"OAF",0.0427542001066197,3.87246897432313,0.308594229224252,0.76391525109969,0.982167456549982,-4.78959191926518,"Stable","up_down"
"CASP5",-0.875517678762317,2.6340734904877,-3.90846287731787,0.00287818954733474,0.854474666675172,-4.03627338706819,"Stable","up_down"
"MARCKS",-0.347374601163654,6.69457831864716,-2.20316205721949,0.0519620705667932,0.854474666675172,-3.9823397544966,"Stable","up_down"
"ADM",-0.495805246338586,4.84066842935436,-2.13047463092341,0.058767581581248,0.854474666675172,-4.09503634166031,"Stable","up_down"
"ADAP2",0.0695415817443896,3.61834721152137,0.554360259952181,0.591421571988275,0.958893864611817,-4.73618396742837,"Stable","up_down"
"ZBTB47",-0.0783214955814229,3.73893911211471,-0.472888573193266,0.646368618763003,0.966476911759644,-4.75241310229857,"Stable","up_down"
"VPREB3",0.190408307089816,2.42638654821903,1.17573902733089,0.266728568014587,0.882995508574182,-4.5719097160291,"Stable","up_down"
"CLEC4A",-0.0804927023350652,4.82776713578065,-0.629577412934138,0.542980296599884,0.950579210105237,-4.79289063141429,"Stable","up_down"
"H2AC18",-0.153458627992089,4.61673733907642,-0.975383686897203,0.352202296793211,0.91045681406439,-4.66191442387905,"Stable","up_down"
"HPSE",-0.0549929243439431,5.47039053535255,-0.380722453107475,0.711311903503786,0.976821234921478,-4.88241556993773,"Stable","up_down"
"MTHFS",0.0488078077328042,3.9136256213618,0.284813832385455,0.781554123266791,0.983854122863499,-4.79183744235966,"Stable","up_down"
"CARD6",-0.138430383585954,4.41487906069364,-0.929613364707569,0.374303369256561,0.916508719159799,-4.67225591125375,"Stable","up_down"
"LTBR",-0.268810841884793,6.27670001006978,-1.7778140573266,0.105570347979592,0.857265311192949,-4.2436555399653,"Stable","up_down"
"TMEM120A",-0.224585809625017,5.23697763906324,-1.77789245407698,0.10555688128617,0.857265311192949,-4.25496479518071,"Stable","up_down"
"IL4R",-0.140268224486879,7.94662167120556,-1.11865168458108,0.289245067483386,0.891777940885761,-4.60423849533392,"Stable","up_down"
"BCL6",-0.415593823121576,8.47862444145698,-2.33552509607093,0.0414717364422738,0.854474666675172,-4.01169613390387,"Stable","up_down"
"UBE2J1",-0.21213457469274,7.12473725496891,-1.71730698816336,0.116443782349788,0.857265311192949,-4.2937726141952,"Stable","up_down"
"GSEC",-0.137178747856216,2.44591912290055,-0.589188624328849,0.568706916187864,0.955837324235712,-4.66100110197442,"Stable","up_down"
"CCR1",-0.152430930111555,7.01835681012909,-0.935625885999374,0.371344654472654,0.914749460262634,-4.69972706096388,"Stable","up_down"
"CBS",-0.144733736917067,1.4616489900766,-0.352947544543136,0.731398919605489,0.978355457829131,-4.63498850915207,"Stable","up_down"
"RAB32",0.025968234426565,4.40982040438589,0.167610311075764,0.87020575646473,0.991819227986607,-4.84448609227437,"Stable","up_down"
"MBOAT2",-0.361744798082765,5.04224378115168,-2.34271885293071,0.0409648355122086,0.854474666675172,-3.93757728484242,"Stable","up_down"
"PTP4A3",0.0303361118394969,5.29522741964579,0.241288115165681,0.814170451083044,0.989668455674251,-4.89985868582627,"Stable","up_down"
"CYP1B1",-0.0269657571149713,5.17925845031645,-0.13180150501993,0.89773567654257,0.993813644587913,-4.89685634073847,"Stable","up_down"
"MILR1",-0.201157739208053,3.06725762118141,-1.45259449454254,0.176752539390348,0.872378834614433,-4.4917406311877,"Stable","up_down"
"ACP3",-0.244806359563583,4.16659653713211,-1.56992374829483,0.147271996664278,0.872378834614433,-4.40775672691352,"Stable","up_down"
"S1PR3",-0.38154843960743,3.68382322631008,-2.7648792621729,0.0198279479290528,0.854474666675172,-3.9648976144433,"Stable","up_down"
"RNF135",-0.0213582775270131,4.88341912656705,-0.184627866679602,0.857183606661731,0.991546993856268,-4.88408581142707,"Stable","up_down"
"MGST2",0.0275006757090139,2.9379431463677,0.188910468564869,0.853913372302649,0.991546993856268,-4.73113560187742,"Stable","up_down"
"TLR1",-0.356578398179709,6.86415783432969,-2.78068088646299,0.0192957375754014,0.854474666675172,-3.64406301145998,"Stable","up_down"
"PLBD1",-0.263662891816645,7.5584374490876,-1.39525099895294,0.192924787883823,0.872378834614433,-4.47530358848564,"Stable","up_down"
"MCEMP1",-0.0814559148012513,3.4885217804132,-0.195775414417462,0.848677305773004,0.990534775357965,-4.74044575395713,"Stable","up_down"
"FLOT2",-0.254850425500443,8.85509691681421,-1.54722717442416,0.152613774587565,0.872378834614433,-4.41512004723059,"Stable","up_down"
"FOLR3",-0.297591346632544,4.32822685026777,-1.03388145910309,0.325365092987244,0.904183082357899,-4.62502133402908,"Stable","up_down"
"SLC11A1",-0.336066477589789,8.67862439637478,-1.79834313312484,0.102097149052616,0.857265311192949,-4.29114166119278,"Stable","up_down"
"CEACAM3",-0.421361600862031,6.33553273622369,-2.32802266945447,0.0420068978892943,0.854474666675172,-3.89462305088943,"Stable","up_down"
"CDC42EP2",0.0405012986700282,5.53529632879889,0.200136044192139,0.845355326982502,0.990534775357965,-4.90959718476021,"Stable","up_down"
"LINC02207",-0.0234289842355776,1.41863001459954,-0.0901297980683888,0.929950331028454,0.994178955482632,-4.6475148375765,"Stable","up_down"
"IFI30",0.0278016623986002,8.50743520652513,0.185231605626203,0.856722412980644,0.991546993856268,-4.8358554693196,"Stable","up_down"
"BSCL2",0.0438849757257858,2.48539838846232,0.334772352026514,0.744660583893469,0.979813135299237,-4.69600196944673,"Stable","up_down"
"COQ2",0.00549709665689679,2.61213332186444,0.0356578124475889,0.9722516585135,0.997751640901045,-4.71387614641456,"Stable","up_down"
"CD59",-0.0856122106554968,5.73281638439356,-0.690127173087427,0.505696745950547,0.94308161822625,-4.80557370217416,"Stable","up_down"
"GPAT3",-0.399643410302386,4.96359152884171,-2.29461109806629,0.0444729394815785,0.854474666675172,-3.97584692750936,"Stable","up_down"
"SEMA4B",-0.237386601320773,6.79264871858883,-1.97909587402166,0.0757668599260728,0.854474666675172,-4.12825433574341,"Stable","up_down"
"JPT1",-0.249685402067215,6.18890053952394,-1.67094509259074,0.125451131611236,0.860033153012742,-4.3097797540639,"Stable","up_down"
"PLB1",-0.256402938883014,4.48001111118922,-1.33190055748572,0.212231240855806,0.872378834614433,-4.50865295256265,"Stable","up_down"
"PLIN3",-0.188775074773811,6.18161867530087,-1.12455997889451,0.28684798582218,0.891777940885761,-4.62030783585345,"Stable","up_down"
"FAM157A",-0.474501914346734,7.33043683559131,-2.19227204860865,0.0529311270116057,0.854474666675172,-4.01285031430675,"Stable","up_down"
"TOM1",-0.0669218638142635,6.09664175831596,-0.455930167857308,0.65810750035956,0.969682495365517,-4.87624404385009,"Stable","up_down"
"HCAR2",-0.601634221689804,6.4052404164848,-3.89899319259392,0.00292303758082878,0.854474666675172,-3.01973682931994,"Stable","up_down"
"RETN",0.024656331910573,2.96848452608957,0.0993320333045646,0.922822882858632,0.993813644587913,-4.72679906457347,"Stable","up_down"
"QPCT",-0.391544053596378,6.22169639941687,-1.69379410468051,0.120936302509954,0.857437473074036,-4.29594721598981,"Stable","up_down"
"RTN2",0.185119969239631,2.78311248423572,1.08156808685571,0.304646743091263,0.900059874706909,-4.59159866222217,"Stable","up_down"
"TLR6",-0.264295575217604,6.85944376890249,-1.81905257950255,0.0986998951196615,0.857265311192949,-4.22681767249097,"Stable","up_down"
"NARF",-0.194000359724736,6.42721864368901,-1.60432209751266,0.139490364529997,0.862877371378166,-4.35166027774252,"Stable","up_down"
"CD300C",0.046445295854733,3.93878784485022,0.339363139365589,0.741302413323967,0.979813135299237,-4.79334980622648,"Stable","up_down"
"REM2",-0.505844087620713,4.1628369928132,-3.2911935828744,0.00805181351466358,0.854474666675172,-3.65420203883386,"Stable","up_down"
"B3GNT5",-0.470199207202649,3.53863891213906,-2.69188179248839,0.0224841060942928,0.854474666675172,-4.03424225576652,"Stable","up_down"
"CAPG",-0.0248887080165199,6.24203337029619,-0.176539954806632,0.863367289916326,0.991819227986607,-4.92193758832688,"Stable","up_down"
"ACSL1",-0.776492996604027,9.09043982503886,-3.75071019672859,0.00372902093150888,0.854474666675172,-3.46647001608713,"Stable","up_down"
"PFKFB3",-0.438309700266261,5.89582627160193,-1.96620339629591,0.0774115699478671,0.854474666675172,-4.12784146217487,"Stable","up_down"
"LINC01002",-0.58771199050069,7.83809997431752,-3.17041952208367,0.00988827143238494,0.854474666675172,-3.5306871005884,"Stable","up_down"
"TMEM176B",0.0145879011065713,4.5377792781354,0.0821007268549556,0.936174452387722,0.996062876037152,-4.85846479766571,"Stable","up_down"
"SMCO4",0.0230864593151918,3.03516627471261,0.1378191509893,0.893098268428833,0.993813644587913,-4.73907042363583,"Stable","up_down"
"IFITM3",-0.154664661950875,8.65262543892526,-0.837939286892166,0.421494173307401,0.925063915307188,-4.69889866884335,"Stable","up_down"
"CSRNP1",-0.171945035725908,5.24508250899816,-1.04741648475649,0.319379371221888,0.904183082357899,-4.64945680037783,"Stable","up_down"
"KCNH3",-0.193988113292891,2.94999403181499,-1.35369926660735,0.205412894849583,0.872378834614433,-4.52273718475104,"Stable","up_down"
"C19orf38",-0.0575261602780639,5.79392178344131,-0.339944617626316,0.740877464764845,0.979813135299237,-4.89803434564992,"Stable","up_down"
"TUBA1A",-0.213872950069412,8.46145544635258,-1.13181607449093,0.283925291083594,0.891777940885761,-4.59453239554006,"Stable","up_down"
"THBD",-0.316258609951716,5.7909556671435,-1.84170078461615,0.0951038733600826,0.857265311192949,-4.20540046927147,"Stable","up_down"
"SERPINA1",-0.20248756224057,10.0390412118055,-0.94996362452447,0.364356894831819,0.913027890417264,-4.64245111841848,"Stable","up_down"
"TMEM121B",-0.559262082524844,4.54165597339184,-3.42370240501777,0.00643548188275857,0.854474666675172,-3.49715065854354,"Stable","up_down"
"ASGR2",-0.0524829069716364,3.26642210899611,-0.267310658194499,0.794621013055429,0.986539115731947,-4.74386333968382,"Stable","up_down"
"ADGRG3",-0.218590430013542,6.81004688865838,-0.809656258967752,0.436838195472729,0.929022704880885,-4.75794674457678,"Stable","up_down"
"GALNT14",-0.599200504243906,1.25812728575262,-1.70800980065555,0.118201810210828,0.857265311192949,-4.53601444405317,"Stable","up_down"
