fromNode	toNode	weight	string_score
AATK	CARD6	0.474730198227446	0.401
AATK	TNIP1	0.458997041585547	0.420
AATK	B3GNTL1	0.416847373333511	0.402
AATK	MYADM	0.460642734409259	0.531
ABAT	PLBD1	0.411156429221227	0.756
ABAT	ACSS2	0.346480804162656	0.824
ABAT	AOC2	0.282356420618147	0.631
ABAT	PDXK	0.269353371689568	0.470
ABAT	ACOX1	0.433174397365165	0.812
ABAT	GAA	0.384461683416839	0.510
ABAT	GLUL	0.414505369571704	0.950
ABAT	AOC3	0.276666553740315	0.461
ABAT	TALDO1	0.420011189564768	0.818
ABAT	C16orf72	0.366998338287999	0.467
ABAT	TKT	0.439729174707408	0.402
ABAT	MGAM	0.405249184505497	0.510
ABAT	HAGH	0.26951548968723	0.531
ABAT	CPVL	0.234613125080916	0.777
ABAT	ACSS3	0.239815948586644	0.823
ABAT	ALDH3B1	0.264298405822894	0.929
ABCG1	GAPDH	0.224699340792681	0.414
ABCG1	LRP1	0.230563403692036	0.494
ABCG1	CD68	0.215176786101771	0.436
ABCG1	NR1H2	0.29644717395276	0.974
ABCG1	CYP27A1	0.265174391232805	0.590
ABCG1	HMGCR	0.335362590191416	0.681
ABCG1	KDM1B	0.274418185838344	0.902
ABCG1	PTTG1IP	0.36340307270312	0.414
ABCG1	SRA1	0.282907306272411	0.406
ABCG1	ANKRD34B	0.26195910387875	0.480
ABCG1	ACTB	0.304198669970572	0.478
ABCG1	TLR4	0.412390418131485	0.477
ABCG1	NPC2	0.139317128217753	0.478
ABCG1	RXRA	0.390537123245516	0.948
ABCG2	SLC22A4	0.338387165780128	0.602
ABCG2	SPG21	0.357895094249716	0.432
ABCG2	GLI1	0.351919034895341	0.537
ABCG2	GAPDH	0.249258089296855	0.615
ABCG2	CTDP1	0.24208076866122	0.404
ABCG2	SLC29A4	0.162786358387933	0.407
ABCG2	MAPK3	0.361739098137658	0.407
ABCG2	DPYD	0.222951176468738	0.408
ABCG2	IGF1R	0.350138229929911	0.415
ABCG2	ATP7B	0.165532991538954	0.419
ABCG2	SLCO3A1	0.356033019363411	0.420
ABCG2	CDC42	0.174701169883419	0.421
ABCG2	CYP1B1	0.312149491697508	0.423
ABCG2	ARRDC3	0.19686537620322	0.435
ABCG2	CYP2J2	0.134772746952354	0.440
ABCG2	BCL2L1	0.25178987669114	0.455
ABCG2	PECAM1	0.371051372531024	0.459
ABCG2	PTPRC	0.222343037762773	0.469
ABCG2	STAT3	0.364051234794957	0.470
ABCG2	SLC31A1	0.297511410722506	0.473
ABCG2	SLC19A1	0.364213881092359	0.509
ABCG2	DGAT1	0.334346205445179	0.539
ABCG2	ANXA5	0.212231108617959	0.549
ABCG2	MVP	0.392189812639651	0.561
ABCG2	NOTCH1	0.327679304278452	0.572
ABCG2	PTEN	0.359373164865393	0.575
ABCG2	ACTB	0.286410379350055	0.595
ABCG2	SLC22A1	0.261897070173196	0.711
ABCG2	PHC2	0.326099100427478	0.777
ABCG2	SLC2A9	0.258720748943686	0.814
