"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"6738","3.87991718","1.0956E-4","0.25773746","0.0","4","7","false","AATK","6.75","4","0","0","0.6800092","false","0","AATK","1914","0.25"
"6739","3.66597654","1.1098E-4","0.27277861","0.0","3","7","false","CARD6","14.0","3","0","0","0.70378038","false","0","CARD6","3792","0.33333333"
"6741","2.98619738","0.00155373","0.33487405","0.18681319","14","6","false","TNIP1","45.14285714","14","0","0","0.7793114","false","0","TNIP1","49118","0.13451668"
"6743","3.81573499","1.1014E-4","0.26207271","0.0","3","7","false","B3GNTL1","10.33333333","3","0","0","0.68714056","false","0","B3GNTL1","1762","0.33333333"
"6745","3.44582471","0.00251082","0.29020629","0.04761905","7","7","false","MYADM","15.71428571","7","0","0","0.7282417","false","0","MYADM","56642","0.15"
"6747","3.33540373","0.00141151","0.29981378","0.16666667","16","6","false","ABAT","14.0625","16","0","0","0.7405107","false","0","ABAT","32922","0.10888672"
"6748","3.53623188","1.5698E-4","0.28278689","0.2","6","7","false","PLBD1","14.5","6","0","0","0.71819646","false","0","PLBD1","2644","0.2"
"6750","3.15804003","0.00135261","0.3166521","0.23391813","19","6","false","ACSS2","22.10526316","19","0","0","0.76021777","false","0","ACSS2","36894","0.10945274"
"6752","3.55831608","6.816E-5","0.28103181","0.4","5","7","false","AOC2","16.6","5","0","0","0.71574266","false","0","AOC2","1922","0.24117647"
"6754","3.58937198","5.887E-5","0.27860027","0.0","3","7","false","PDXK","21.66666667","3","0","0","0.712292","false","0","PDXK","1088","0.33879781"
"6756","2.88819876","0.00360127","0.34623656","0.29347826","24","6","false","ACOX1","36.58333333","24","0","0","0.79020014","false","0","ACOX1","118544","0.0952691"
"6758","3.16839199","0.00109714","0.31561751","0.20261438","18","6","false","GAA","18.83333333","18","0","0","0.75906756","false","0","GAA","24554","0.09455668"
"6760","2.85645273","7.4847E-4","0.35008456","0.5047619","15","6","false","GLUL","57.2","15","0","0","0.79372747","false","0","GLUL","27016","0.14283333"
"6762","2.73498965","0.00314868","0.3656321","0.44827586","30","6","false","AOC3","73.3","30","0","0","0.80722337","false","0","AOC3","122298","0.14008923"
"6764","2.9047619","0.00207375","0.3442623","0.34188034","27","6","false","TALDO1","28.22222222","27","0","0","0.78835979","false","0","TALDO1","51062","0.07874261"
"6766","4.0931677","4.927E-5","0.24430956","0.0","3","7","false","C16orf72","8.0","3","0","0","0.6563147","false","0","C16orf72","614","0.33333333"
"6768","2.79020014","0.00310428","0.35839723","0.31724138","30","6","false","TKT","39.06666667","30","0","0","0.80108887","false","0","TKT","99370","0.08183089"
"6770","3.07660455","9.0708E-4","0.32503365","0.23529412","18","6","false","MGAM","25.22222222","18","0","0","0.76926616","false","0","MGAM","22866","0.10084784"
"6772","3.65493444","1.7542E-4","0.27360272","0.06666667","6","7","false","HAGH","10.0","6","0","0","0.70500728","false","0","HAGH","4024","0.18300654"
"6774","3.24361629","5.5799E-4","0.30829787","0.08333333","9","6","false","CPVL","21.22222222","9","0","0","0.7507093","false","0","CPVL","11466","0.13176638"
"6776","3.79020014","5.1E-6","0.26383831","0.83333333","4","7","false","ACSS3","17.0","4","0","0","0.68997776","false","0","ACSS3","98","0.38636364"
"6778","3.49482402","2.5184E-4","0.28613744","0.28571429","8","7","false","ALDH3B1","15.0","8","0","0","0.72279733","false","0","ALDH3B1","5514","0.17241379"
"6780","2.87094548","0.00273155","0.34831731","0.21978022","14","6","false","ABCG1","58.14285714","14","0","0","0.79211717","false","0","ABCG1","75992","0.145"
"6781","2.14423741","0.05927157","0.46636627","0.12690826","203","5","false","GAPDH","48.42364532","203","0","0","0.87286251","false","0","GAPDH","2143048","0.04517131"
"6783","2.65769496","0.00175832","0.3762659","0.20766129","32","6","false","LRP1","56.4375","32","0","0","0.81581167","false","0","LRP1","71816","0.09323347"
"6785","2.54727398","0.00301818","0.39257654","0.33939394","66","6","false","CD68","66.66666667","66","0","0","0.82808067","false","0","CD68","158672","0.09562628"
"6787","3.13457557","9.7975E-4","0.31902246","0.21794872","13","7","false","NR1H2","26.07692308","13","0","0","0.76282494","false","0","NR1H2","27360","0.11385971"
"6789","3.39406487","5.6151E-4","0.29463196","0.21212121","12","7","false","CYP27A1","14.91666667","12","0","0","0.73399279","false","0","CYP27A1","14868","0.14768977"
"6791","2.76466529","0.00549259","0.36170744","0.14814815","27","6","false","HMGCR","37.81481481","27","0","0","0.80392608","false","0","HMGCR","161160","0.07687075"
"6793","3.17184265","5.3473E-4","0.31527415","0.14545455","11","6","false","KDM1B","22.90909091","11","0","0","0.75868415","false","0","KDM1B","11648","0.12025012"
"6795","3.74258109","6.608E-5","0.26719528","0.0","3","7","false","PTTG1IP","10.66666667","3","0","0","0.69526877","false","0","PTTG1IP","1008","0.33333333"
"6797","3.01035197","5.203E-5","0.33218707","0.33333333","7","6","false","SRA1","59.42857143","7","0","0","0.77662756","false","0","SRA1","2454","0.19631031"
"6799","3.8426501","2.08E-6","0.26023707","0.0","2","7","false","ANKRD34B","10.0","2","0","0","0.68414999","false","0","ANKRD34B","34","0.52941176"
"6801","2.09385783","0.08183129","0.47758734","0.113956","236","5","false","ACTB","47.24152542","236","0","0","0.87846024","false","0","ACTB","2849610","0.04251781"
"6803","2.28364389","0.02504315","0.43789665","0.18804348","161","5","false","TLR4","54.76397516","161","0","0","0.8573729","false","0","TLR4","1037620","0.05887932"
"6805","3.20082816","3.976E-4","0.31241915","0.23636364","11","6","false","NPC2","24.90909091","11","0","0","0.75546354","false","0","NPC2","9246","0.13915693"
"6807","2.84886128","0.00406844","0.35101744","0.20689655","30","6","false","RXRA","32.53333333","30","0","0","0.79457097","false","0","RXRA","118612","0.07548337"
"6809","2.63008972","0.00879985","0.38021517","0.1908046","30","6","false","ABCG2","60.26666667","30","0","0","0.81887892","false","0","ABCG2","223564","0.09524564"
"6810","3.20634921","7.2552E-4","0.31188119","0.10606061","12","6","false","SLC22A4","22.41666667","12","0","0","0.75485009","false","0","SLC22A4","15448","0.11809269"
"6812","3.25465839","5.6098E-4","0.30725191","0.06666667","6","6","false","SPG21","25.16666667","6","0","0","0.7494824","false","0","SPG21","10790","0.18014706"
"6814","2.63975155","0.004507","0.37882353","0.26381462","34","6","false","GLI1","60.97058824","34","0","0","0.81780538","false","0","GLI1","160996","0.09909134"
"6817","3.19116632","0.00222766","0.31336505","0.08571429","15","6","false","CTDP1","14.53333333","15","0","0","0.75653708","false","0","CTDP1","41778","0.0873706"
"6819","3.51414769","6.308E-5","0.28456402","0.2","5","7","false","SLC29A4","13.2","5","0","0","0.72065026","false","0","SLC29A4","1070","0.24150943"
