fromNode	toNode	weight	string_score	cor_score	edge_type
BCL10	TNFRSF1A	0.447323052016608	0.52	0.483661526008304	between
BCL10	MAPK13	0.357384532163208	0.648	0.502692266081604	between
BCL10	NFKBIA	0.319620189329722	0.901	0.610310094664861	between
BCL10	MAPK14	0.404069351941498	0.664	0.534034675970749	between
BCL10	MAPK3	0.425832837164932	0.847	0.636416418582466	between
BCL10	BCL2L1	0.327198127531563	0.411	0.369099063765781	inner
BCL10	CFLAR	0.418044634092046	0.412	0.415022317046023	inner
BCL10	NFKB2	0.40147679485014	0.49	0.44573839742507	between
BCL10	LYN	0.424312190684424	0.409	0.416656095342212	inner
BCL10	MYD88	0.425197634536689	0.522	0.473598817268345	inner
BCL10	PLCG2	0.397598017172738	0.523	0.460299008586369	between
BCL10	SQSTM1	0.388242912189795	0.713	0.550621456094897	between
BCL10	SYK	0.420909297963577	0.756	0.588454648981789	between
BCL10	TLR4	0.430102962542906	0.83	0.630051481271453	inner
BCL2A1	TNFRSF1A	0.455715317591257	0.436	0.445857658795628	between
BCL2A1	NFKBIA	0.205603114566762	0.528	0.366801557283381	between
BCL2A1	SPI1	0.457368208837927	0.619	0.538184104418963	between
BCL2A1	TYROBP	0.443912542734238	0.501	0.472456271367119	between
BCL2A1	ICAM1	0.364409919190351	0.419	0.391704959595175	inner
BCL2A1	NCF2	0.435336707155228	0.431	0.433168353577614	between
BCL2A1	TLR4	0.440070458996708	0.436	0.438035229498354	inner
BCL2A1	PTGS2	0.279151973956953	0.462	0.370575986978476	inner
BCL2A1	CFLAR	0.346223211158417	0.695	0.520611605579208	inner
BCL2A1	BCL2L1	0.216352868510284	0.927	0.571676434255142	inner
BCL2L1	TNFRSF1A	0.415786918860748	0.651	0.533393459430374	between
BCL2L1	NFKBIA	0.213152759975927	0.698	0.455576379987963	between
BCL2L1	MAPK14	0.350984123030303	0.694	0.522492061515151	between
BCL2L1	MAPK3	0.397441821830002	0.967	0.682220910915001	between
BCL2L1	ICAM1	0.383325937783815	0.504	0.443662968891907	inner
BCL2L1	GRB2	0.380741632660765	0.427	0.403870816330382	between
BCL2L1	SYK	0.392432708466407	0.451	0.421716354233204	between
BCL2L1	TLR4	0.397151004887123	0.47	0.433575502443561	inner
BCL2L1	MYD88	0.367541427770752	0.472	0.419770713885376	inner
BCL2L1	SQSTM1	0.334256269057189	0.491	0.412628134528594	between
BCL2L1	SOCS3	0.375094456569952	0.502	0.438547228284976	between
BCL2L1	NFKB2	0.36648377558025	0.598	0.482241887790125	between
BCL2L1	PTGS2	0.284565322186683	0.602	0.443282661093341	inner
BCL2L1	CFLAR	0.370488722066211	0.893	0.631744361033105	inner
CD14	SPI1	0.466597567028308	0.889	0.677798783514154	between
CD14	TYROBP	0.445093055305561	0.849	0.64704652765278	between
CD14	FCGR2A	0.452585901891092	0.783	0.617792950945546	between
CD14	FCGR1A	0.45088970931702	0.618	0.53444485465851	between
CD14	FCGR3B	0.46296313962247	0.64	0.551481569811235	between
CD14	LILRB2	0.455493043175694	0.729	0.592246521587847	between
CD14	TICAM2	0.281977760480361	0.734	0.507988880240181	inner
CD14	PLCG2	0.43129616245918	0.951	0.69114808122959	between
CD14	MYD88	0.462988415776231	0.971	0.716994207888116	inner
CD14	TLR4	0.44319935940618	0.999	0.72109967970309	inner
CFLAR	TNFRSF1A	0.481526569048139	0.804	0.64276328452407	between
CFLAR	NFKBIA	0.337642248386148	0.649	0.493321124193074	between
CFLAR	MAPK3	0.438120767463303	0.414	0.426060383731651	between
CFLAR	MYD88	0.416174680921595	0.412	0.414087340460797	inner
CFLAR	PTGS2	0.354275906438638	0.422	0.388137953219319	inner
CFLAR	TLR4	0.471331856764423	0.437	0.454165928382211	inner
CFLAR	NFKB2	0.403839097409789	0.507	0.455419548704895	between
CYBA	TNFRSF1A	0.464780054100531	0.61	0.537390027050266	between
CYBA	MAPK13	0.341513688862163	0.658	0.499756844431081	inner
CYBA	MAPK14	0.387607215076581	0.757	0.572303607538291	inner
CYBA	TLR4	0.444330179715323	0.405	0.424665089857661	between
CYBA	PTGS2	0.305994851633765	0.406	0.355997425816883	between
CYBA	ICAM1	0.400780921279262	0.48	0.440390460639631	between
CYBA	MAPK3	0.43740521550954	0.755	0.59620260775477	inner
CYBA	RAC1	0.435086122277735	0.95	0.692543061138867	inner
CYBA	NCF2	0.448923368367591	0.999	0.723961684183795	inner
CYBA	NCF1	0.347952673023167	0.999	0.673476336511583	inner
CYBA	NCF4	0.46204398543451	0.999	0.730521992717255	inner
FCGR1A	SPI1	0.463105410221751	0.909	0.686052705110876	inner
FCGR1A	LILRB3	0.44707999383948	0.856	0.65153999691974	inner
FCGR1A	LILRA1	0.43581471773652	0.879	0.65740735886826	inner
FCGR1A	LILRA2	0.433949372659975	0.864	0.648974686329987	inner
FCGR1A	TYROBP	0.419804332374923	0.824	0.621902166187462	inner
FCGR1A	ICAM1	0.381807687591671	0.493	0.437403843795836	between
FCGR1A	FCGR2A	0.445177177688607	0.686	0.565588588844304	inner
FCGR1A	RAC1	0.391839340985689	0.907	0.649419670492845	inner
FCGR1A	MYD88	0.402938799824011	0.408	0.405469399912005	between
FCGR1A	GRB2	0.430227767329151	0.454	0.442113883664575	inner
FCGR1A	FCGR3B	0.440329085935427	0.486	0.463164542967713	inner
FCGR1A	TLR4	0.434034081401561	0.627	0.530517040700781	between
FCGR1A	PLCG2	0.284059884433032	0.688	0.486029942216516	between
FCGR1A	SIRPA	0.442079879090804	0.703	0.572539939545402	inner
