fromNode	toNode	weight	string_score	cor_score	edge_type
BCL10	TNFRSF1A	0.447323052016608	0.52	0.483661526008304	inner
BCL10	MAPK13	0.357384532163208	0.648	0.502692266081604	between
BCL10	NFKBIA	0.319620189329722	0.901	0.610310094664861	between
BCL10	MAPK14	0.404069351941498	0.664	0.534034675970749	between
BCL10	MAPK3	0.425832837164932	0.847	0.636416418582466	between
BCL10	FADD	0.341617067133533	0.424	0.382808533566766	between
BCL10	BCL2L1	0.327198127531563	0.411	0.369099063765781	inner
BCL10	CFLAR	0.418044634092046	0.412	0.415022317046023	inner
BCL10	TLR9	0.297904093132895	0.42	0.358952046566448	between
BCL10	NFKB2	0.40147679485014	0.49	0.44573839742507	inner
BCL10	LYN	0.424312190684424	0.409	0.416656095342212	inner
BCL10	MYD88	0.425197634536689	0.522	0.473598817268345	between
BCL10	PLCG2	0.397598017172738	0.523	0.460299008586369	inner
BCL10	SYK	0.420909297963577	0.756	0.588454648981789	inner
BCL10	TLR4	0.430102962542906	0.83	0.630051481271453	between
BCL2A1	TNFRSF1A	0.455715317591257	0.436	0.445857658795628	inner
BCL2A1	NFKBIA	0.205603114566762	0.528	0.366801557283381	between
BCL2A1	ICAM1	0.364409919190351	0.419	0.391704959595175	inner
BCL2A1	FADD	0.237078460329993	0.42	0.328539230164996	between
BCL2A1	TLR4	0.440070458996708	0.436	0.438035229498354	between
BCL2A1	PTGS2	0.279151973956953	0.462	0.370575986978476	inner
BCL2A1	CFLAR	0.346223211158417	0.695	0.520611605579208	inner
BCL2A1	BCL2L1	0.216352868510284	0.927	0.571676434255142	inner
BCL2L1	TNFRSF1A	0.415786918860748	0.651	0.533393459430374	inner
BCL2L1	NFKBIA	0.213152759975927	0.698	0.455576379987963	between
BCL2L1	MAPK14	0.350984123030303	0.694	0.522492061515151	between
BCL2L1	MAPK3	0.397441821830002	0.967	0.682220910915001	between
BCL2L1	ICAM1	0.383325937783815	0.504	0.443662968891907	inner
BCL2L1	FADD	0.247262531573194	0.746	0.496631265786597	between
BCL2L1	SYK	0.392432708466407	0.451	0.421716354233204	inner
BCL2L1	TLR4	0.397151004887123	0.47	0.433575502443561	between
BCL2L1	MYD88	0.367541427770752	0.472	0.419770713885376	between
BCL2L1	NFKB2	0.36648377558025	0.598	0.482241887790125	inner
BCL2L1	PTGS2	0.284565322186683	0.602	0.443282661093341	inner
BCL2L1	CFLAR	0.370488722066211	0.893	0.631744361033105	inner
CCL5	TNFRSF1A	0.489733060113297	0.566	0.527866530056649	between
CCL5	NFKBIA	0.370289262156683	0.618	0.494144631078342	between
CCL5	MAPK14	0.479419073992863	0.407	0.443209536996432	inner
CCL5	MAPK3	0.486563975611631	0.478	0.482281987805815	inner
CCL5	ICAM1	0.477716799597987	0.752	0.614858399798993	between
CCL5	IFNAR1	0.490528102614988	0.476	0.483264051307494	inner
CCL5	TLR8	0.489063311806486	0.566	0.527531655903243	inner
CCL5	TLR9	0.363679836956474	0.636	0.499839918478237	inner
CCL5	TLR1	0.491642138955923	0.584	0.537821069477961	inner
CCL5	PTGS2	0.457720830457972	0.606	0.531860415228986	between
CCL5	TLR4	0.482593860876892	0.734	0.608296930438446	between
CCL5	SYK	0.488664848636843	0.404	0.446332424318422	between
CCL5	SPP1	0.446078759731405	0.505	0.475539379865702	inner
CCL5	IL1R1	0.452879178540273	0.562	0.507439589270137	between
CCL5	TLR6	0.4919929999639	0.575	0.53349649998195	inner
CCL5	MYD88	0.485002062243125	0.673	0.579001031121563	between
CD14	FADD	0.418647274962553	0.605	0.511823637481276	between
CD14	TLR8	0.450560908794003	0.559	0.504780454397002	between
CD14	TICAM2	0.281977760480361	0.734	0.507988880240181	between
CD14	TOLLIP	0.453406902353692	0.91	0.681703451176846	between
CD14	PLCG2	0.43129616245918	0.951	0.69114808122959	between
CD14	TLR6	0.457923703802589	0.963	0.710461851901295	between
CD14	TLR1	0.457696258480928	0.969	0.713348129240464	between
CD14	MYD88	0.462988415776231	0.971	0.716994207888116	between
CD14	TLR4	0.44319935940618	0.999	0.72109967970309	between
CFLAR	TNFRSF1A	0.481526569048139	0.804	0.64276328452407	inner
CFLAR	NFKBIA	0.337642248386148	0.649	0.493321124193074	between
CFLAR	MAPK3	0.438120767463303	0.414	0.426060383731651	between
CFLAR	FADD	0.394381237452085	0.999	0.696690618726042	between
CFLAR	MYD88	0.416174680921595	0.412	0.414087340460797	between
CFLAR	PTGS2	0.354275906438638	0.422	0.388137953219319	inner
CFLAR	TLR4	0.471331856764423	0.437	0.454165928382211	between
CFLAR	MAP2K4	0.413139384853297	0.498	0.455569692426648	between
CFLAR	NFKB2	0.403839097409789	0.507	0.455419548704895	inner
FADD	TNFRSF1A	0.463551187922253	0.999	0.731275593961127	between
FADD	NFKBIA	0.266370949312766	0.567	0.416685474656383	between
FADD	MAPK3	0.422744128835043	0.496	0.459372064417521	inner
FADD	TICAM2	0.193014580206455	0.679	0.436007290103228	between
FADD	TRIM25	0.425324716205227	0.68	0.552662358102614	between
FADD	TLR4	0.455498441714569	0.796	0.625749220857285	between
FADD	MAP2K4	0.400563858114691	0.928	0.664281929057346	inner
FADD	MYD88	0.41724595305914	0.998	0.70762297652957	between
ICAM1	TNFRSF1A	0.471131723832034	0.653	0.562065861916017	inner
ICAM1	NFKBIA	0.365844477559808	0.744	0.554922238779904	between
ICAM1	LTBR	0.449667971663868	0.694	0.571833985831934	inner
ICAM1	MAPK3	0.436494678805237	0.61	0.523247339402618	between
ICAM1	LYN	0.457107898170155	0.406	0.431553949085077	inner
ICAM1	TLR8	0.45287039058265	0.42	0.436435195291325	between
ICAM1	PLAU	0.303344113017762	0.437	0.370172056508881	inner
ICAM1	TLR6	0.381635006100038	0.491	0.436317503050019	between
ICAM1	NFKB2	0.422161328468282	0.505	0.463580664234141	inner
ICAM1	TLR1	0.411865785184429	0.518	0.464932892592214	between
ICAM1	TLR9	0.341129552404173	0.537	0.439064776202087	between
ICAM1	SPP1	0.328518315729894	0.538	0.433259157864947	between
ICAM1	MYD88	0.408509995064769	0.595	0.501754997532385	between
ICAM1	SYK	0.422177296897966	0.721	0.571588648448983	inner
ICAM1	PTGS2	0.386043688517267	0.728	0.557021844258633	inner
ICAM1	TLR4	0.462442457528142	0.796	0.629221228764071	between
ICAM1	PLCG2	0.414063418994911	0.846	0.630031709497455	inner
