fromNode	toNode	weight	string_score	cor_score	edge_type
ACTB	MAPK14	0.424996284871725	0.657	0.540998142435863	between
ACTB	VASP	0.454866245373585	0.894	0.674433122686793	between
ACTB	MAPK3	0.439828622655216	0.89	0.664914311327608	between
ACTB	FCGR2A	0.447463451151167	0.485	0.466231725575583	between
ACTB	GNAQ	0.353725467952116	0.44	0.396862733976058	between
ACTB	ANXA5	0.279934853716315	0.906	0.592967426858158	between
ACTB	GNAI2	0.454152989004825	0.403	0.428576494502413	between
ACTB	TLN1	0.363296896532453	0.882	0.622648448266226	between
ACTB	PLAUR	0.437071765373897	0.415	0.426035882686948	between
ACTB	SERPINA1	0.435210793884379	0.401	0.41810539694219	between
ACTB	VAV1	0.411890556896259	0.406	0.40894527844813	between
ACTB	PIK3CD	0.438935944561567	0.409	0.423967972280783	between
ACTB	PLAU	0.284941105426967	0.457	0.370970552713484	between
ACTB	SYK	0.430686682557861	0.548	0.489343341278931	between
ACTB	LYN	0.457166472519342	0.578	0.517583236259671	between
ACTB	NFE2L2	0.36792206007851	0.654	0.510961030039255	between
ACTB	PRKCD	0.453501676965015	0.664	0.558750838482508	between
ACTB	TLR4	0.450712314212476	0.771	0.610856157106238	between
ACTB	WAS	0.445978128212754	0.943	0.694489064106377	between
ACTB	RHOA	0.405059022551024	0.953	0.679029511275512	between
ADORA2A	P2RX1	0.357360721451741	0.627	0.492180360725871	between
ADORA2A	MAPK3	0.379352216490247	0.44	0.409676108245123	between
ADORA2A	GNAQ	0.313586542768169	0.794	0.553793271384085	between
ADORA2A	ENTPD1	0.377464234958139	0.807	0.59223211747907	inner
ANXA5	MAPK14	0.36814803607135	0.524	0.446074018035675	between
ANXA5	VASP	0.395452743699334	0.492	0.443726371849667	between
ANXA5	MAPK3	0.40457641635263	0.694	0.549288208176315	between
ANXA5	FCGR2A	0.417446176204323	0.513	0.465223088102162	between
ANXA5	NFE2L2	0.363341892214185	0.433	0.398170946107092	inner
ANXA5	PLAU	0.250456945929905	0.479	0.364728472964952	inner
ANXA5	RHOA	0.375316934361513	0.484	0.429658467180757	between
ANXA5	TLR4	0.409942626846239	0.663	0.536471313423119	inner
ANXA5	PRKCD	0.417119668773344	0.71	0.563559834386672	inner
ANXA5	TLN1	0.211902820887031	0.914	0.562951410443515	between
APBB1IP	VASP	0.468104835386173	0.994	0.731052417693086	inner
APBB1IP	MAPK3	0.440524520199068	0.645	0.542762260099534	inner
APBB1IP	FERMT3	0.443170756915435	0.847	0.645085378457718	between
APBB1IP	TLN1	0.406268060276981	0.997	0.70163403013849	between
APBB1IP	SYK	0.425780150034429	0.732	0.578890075017214	between
APBB1IP	VAV1	0.441135951574192	0.523	0.482067975787096	between
APBB1IP	WAS	0.443598532427571	0.555	0.499299266213786	between
APBB1IP	PTPN6	0.447016795931246	0.625	0.536008397965623	between
CD36	MAPK14	0.309119154332461	0.905	0.60705957716623	between
CD36	TLR4	0.336820553038539	0.798	0.567410276519269	inner
CD36	PLCG2	0.313383780508306	0.432	0.372691890254153	between
CD36	LYN	0.34009569828343	0.546	0.443047849141715	between
CD59	FCGR2A	0.463021985592807	0.407	0.435010992796403	between
CD59	PLAUR	0.444627221473033	0.459	0.451813610736516	inner
CD59	F5	0.358997814127955	0.617	0.487998907063978	inner
CD59	ENTPD1	0.348343421697134	0.429	0.388671710848567	inner
CD59	THBD	0.405641109579699	0.547	0.47632055478985	inner
CD59	LYN	0.434480055315272	0.449	0.441740027657636	between
CD59	PLCG2	0.303854615157383	0.675	0.489427307578692	between
CD59	SERPINA1	0.471955972797133	0.691	0.581477986398567	inner
CEACAM1	PRKG2	0.288478451421655	0.431	0.359739225710828	between
CEACAM1	TLR4	0.445274926696503	0.449	0.447137463348251	inner
CEACAM1	PTPN6	0.343551240586188	0.578	0.460775620293094	inner
DGKG	PLCG2	0.342435372076555	0.719	0.530717686038278	between
ENTPD1	P2RX1	0.388484468664605	0.641	0.514742234332302	between
ENTPD1	TLR4	0.472570486411694	0.405	0.438785243205847	inner
ENTPD1	THBD	0.425341032931613	0.777	0.601170516465807	inner
F11R	MAPK3	0.443497072618282	0.918	0.680748536309141	between
F11R	LYN	0.456292573594098	0.453	0.454646286797049	between
F11R	SYK	0.447901468097201	0.47	0.4589507340486	between
F11R	RHOA	0.462836187283329	0.894	0.678418093641664	between
F12	SERPINA1	0.330520031769704	0.432	0.381260015884852	inner
F12	F5	0.285122994101199	0.459	0.3720614970506	inner
F12	F7	0.160164110707088	0.711	0.435582055353544	inner
F2RL1	GNAQ	0.427406749745443	0.98	0.703703374872721	between
F2RL1	TLR4	0.464324396226964	0.721	0.592662198113482	inner
F5	F7	0.364843397862007	0.548	0.456421698931003	inner
F5	SERPINA1	0.458302607938945	0.673	0.565651303969472	inner
F5	THBD	0.377336396872656	0.773	0.575168198436328	inner
F7	SERPINA1	0.368362998009869	0.519	0.443681499004934	inner
F7	THBD	0.338730076101128	0.681	0.509865038050564	inner
FCGR2A	TLR4	0.458839051543077	0.72	0.589419525771538	between
FCGR2A	VAV1	0.489635396828294	0.742	0.615817698414147	between
FCGR2A	PLCG2	0.46222203030349	0.8	0.631111015151745	between
FCGR2A	LYN	0.461927934768328	0.972	0.716963967384164	between
FCGR2A	SYK	0.473024747262752	0.998	0.735512373631376	between
FERMT3	TLN1	0.396319040433377	0.448	0.422159520216689	between
FERMT3	PLCG2	0.369433309226937	0.448	0.408716654613469	between
FERMT3	VAV1	0.414395621775923	0.496	0.455197810887962	between
FERMT3	SYK	0.435594070896398	0.498	0.466797035448199	between
FERMT3	WAS	0.455684404769008	0.611	0.533342202384504	between
GNAI2	MAPK13	0.419030988078251	0.731	0.575015494039125	inner
GNAI2	MAPK14	0.425145462907466	0.932	0.678572731453733	between
GNAI2	MAPK3	0.449226176894007	0.951	0.700113088447003	inner
GNAI2	GNAQ	0.456514916586598	0.938	0.697257458293299	between
GNAI2	PRKACA	0.466135155330975	0.721	0.593567577665488	inner
GNAI2	TLN1	0.419528661051132	0.409	0.414264330525566	between
GNAI2	PIK3CD	0.458139043498097	0.624	0.541069521749048	inner
GNAI2	LYN	0.471381872312267	0.923	0.697190936156133	between
GNAI2	RHOA	0.450037842352671	0.946	0.698018921176335	inner
GNAI2	GNAI3	0.433082825193037	0.988	0.710541412596518	inner
GNAI3	MAPK13	0.289440917419886	0.738	0.513720458709943	inner
GNAI3	MAPK14	0.402996937255684	0.936	0.669498468627842	between
GNAI3	MAPK3	0.403996548567768	0.939	0.671498274283884	inner
GNAI3	GNAQ	0.35674225764552	0.927	0.64187112882276	between
GNAI3	PRKACA	0.431246865642621	0.708	0.56962343282131	inner
GNAI3	PIK3CD	0.431858490200704	0.616	0.523929245100352	inner
GNAI3	LYN	0.418715144119821	0.676	0.547357572059911	between
GNAI3	RHOA	0.400532804890106	0.935	0.667766402445053	inner
GNAQ	MAPK14	0.426852549062493	0.937	0.681926274531247	between
GNAQ	MAPK3	0.437746751860404	0.711	0.574373375930202	between
GNAQ	PRKCD	0.45936143860118	0.444	0.45168071930059	between
GNAQ	RHOA	0.405967475566299	0.842	0.623983737783149	between
GNAQ	PLCG2	0.361461006369879	0.881	0.621230503184939	between
GNAQ	VAV1	0.422141791405099	0.915	0.66857089570255	between
GNAQ	PRKACA	0.457206828681373	0.916	0.686603414340687	between
LYN	MAPK14	0.450895689802868	0.932	0.691447844901434	between
LYN	MAPK3	0.454315139396524	0.969	0.711657569698262	between
LYN	PLAUR	0.451128626341219	0.57	0.510564313170609	between
LYN	TLR4	0.451253910163528	0.818	0.634626955081764	between
LYN	SYK	0.459428642228016	0.967	0.713214321114008	between
LYN	WAS	0.458637479868108	0.473	0.465818739934054	between
LYN	PIK3CD	0.475568538182307	0.899	0.687284269091153	between
LYN	PRKCD	0.460844834579967	0.954	0.707422417289983	between
LYN	PTPN6	0.46801084833521	0.994	0.731005424167605	between
LYN	RHOA	0.472498201884848	0.945	0.708749100942424	between
LYN	PLCG2	0.44055014643494	0.983	0.71177507321747	between
LYN	VAV1	0.472197666008016	0.988	0.730098833004008	between
MAPK13	PRKG2	0.298091415235268	0.811	0.554545707617634	inner
MAPK13	MAPK3	0.40113559697526	0.816	0.60856779848763	inner
MAPK13	MAPK14	0.383834445467822	0.906	0.644917222733911	between
MAPK14	PTPN6	0.424700885138429	0.428	0.426350442569215	between
MAPK14	RHOA	0.430975473924906	0.633	0.531987736962453	between
MAPK14	TLR4	0.459134238120021	0.664	0.561567119060011	between
MAPK14	PRKG2	0.40446641362809	0.815	0.609733206814045	between
MAPK14	SYK	0.408640545990537	0.931	0.669820272995268	between
MAPK14	MAPK3	0.410786587852299	0.957	0.68389329392615	between
MAPK3	SYK	0.435008720300943	0.462	0.448504360150472	between
MAPK3	PLAU	0.363514105805469	0.465	0.414257052902735	between
MAPK3	PLAUR	0.460261399788311	0.489	0.474630699894156	between
MAPK3	VAV1	0.451765091680752	0.49	0.470882545840376	between
MAPK3	NFE2L2	0.43819403748998	0.531	0.48459701874499	between
MAPK3	PLCG2	0.441456997154883	0.622	0.531728498577442	between
MAPK3	TLN1	0.386631640401217	0.658	0.522315820200609	between
MAPK3	TLR4	0.456605003571622	0.826	0.641302501785811	between
MAPK3	PRKACA	0.444503590185512	0.87	0.657251795092756	inner
MAPK3	PTPN6	0.459943924096135	0.878	0.668971962048068	between
MAPK3	PRKCD	0.435066304721175	0.953	0.694033152360587	between
MAPK3	RHOA	0.451766918073683	0.976	0.713883459036841	inner
MERTK	TLR4	0.438613845510364	0.438	0.438306922755182	inner
MERTK	PLCG2	0.364502708423378	0.494	0.429251354211689	between
NFE2L2	TLR4	0.457266510579209	0.478	0.467633255289604	inner
NFE2L2	PRKCD	0.470054434855263	0.528	0.499027217427632	inner
PIK3CD	TLR4	0.481588676533564	0.867	0.674294338266782	between
PIK3CD	SYK	0.443084758712164	0.908	0.675542379356082	between
PIK3CD	PTPN6	0.445436563511989	0.652	0.548718281755995	between
PIK3CD	VAV1	0.426529433716655	0.794	0.610264716858328	between
PIK3CD	PLCG2	0.441936352027714	0.837	0.639468176013857	between
PIK3CD	PRKCD	0.471651802555971	0.86	0.665825901277985	between
PLAU	PLAUR	0.414707214773339	0.999	0.706853607386669	inner
PLAU	RHOA	0.307232030060469	0.425	0.366116015030234	between
PLAU	THBD	0.359174761762961	0.548	0.453587380881481	inner
PLAUR	RHOA	0.463680466821792	0.447	0.455340233410896	between
PLAUR	TLR4	0.447216335998053	0.52	0.483608167999027	inner
PLCG2	VASP	0.43094235574889	0.44	0.435471177874445	between
PLCG2	TLR4	0.455349112389484	0.937	0.696174556194742	between
PLCG2	SYK	0.433073366664808	0.976	0.704536683332404	between
PLCG2	WAS	0.459630199098723	0.532	0.495815099549362	between
PLCG2	PRKCD	0.466039000670057	0.903	0.684519500335029	between
PLCG2	PTPN6	0.356000835023865	0.946	0.651000417511932	between
PLCG2	RHOA	0.384651508086181	0.472	0.42832575404309	between
PLCG2	VAV1	0.425568711713812	0.915	0.670284355856906	between
PRKACA	VASP	0.463686576392223	0.838	0.650843288196111	inner
PRKACA	RHOA	0.473276049923852	0.869	0.671138024961926	inner
PRKCD	SYK	0.436524590196871	0.417	0.426762295098435	between
PRKCD	VAV1	0.462516800463977	0.507	0.484758400231988	inner
PRKCD	PTPN6	0.465078851024694	0.657	0.561039425512347	inner
PRKCD	RHOA	0.45870531868405	0.676	0.567352659342025	between
PRKG2	VASP	0.433926647874203	0.913	0.673463323937102	inner
PTPN6	TLR4	0.460679631639662	0.43	0.445339815819831	inner
PTPN6	SYK	0.447504394283562	0.996	0.721752197141781	between
PTPN6	VAV1	0.425243437821907	0.902	0.663621718910953	inner
RHOA	VASP	0.473075315512905	0.662	0.567537657756452	inner
RHOA	TLN1	0.386851326502071	0.954	0.670425663251035	between
RHOA	TLR4	0.473178341906631	0.943	0.708089170953315	between
RHOA	SYK	0.437709410297383	0.822	0.629854705148691	between
RHOA	WAS	0.452179602235327	0.808	0.630089801117664	between
RHOA	VAV1	0.411521220809199	0.995	0.7032606104046	between
SYK	VASP	0.464134634135681	0.458	0.461067317067841	between
SYK	TLN1	0.382821709487392	0.698	0.540410854743696	between
SYK	TLR4	0.462429767391065	0.994	0.728214883695532	between
SYK	WAS	0.431953175802949	0.6	0.515976587901474	between
SYK	VAV1	0.435714695704598	0.999	0.717357347852299	between
THBD	TLR4	0.447130476316809	0.589	0.518065238158405	inner
TLN1	VASP	0.385111419510981	0.488	0.436555709755491	between
TLN1	VAV1	0.378684043345028	0.446	0.412342021672514	between
VASP	WAS	0.462404019071812	0.935	0.698702009535906	between
VAV1	WAS	0.459268643959103	0.995	0.727134321979552	inner
