nodeName	altName	nodeAttr[nodesPresent, ]
5_8S_rRNA	NA	grey
A1BG	NA	turquoise
A1BG-AS1	NA	turquoise
A1CF	NA	green
A2M	NA	turquoise
A2M-AS1	NA	turquoise
A2ML1	NA	grey
A2MP1	NA	turquoise
A3GALT2	NA	grey
A4GALT	NA	grey
A4GNT	NA	turquoise
AAAS	NA	turquoise
AACS	NA	turquoise
AADAT	NA	blue
AAGAB	NA	turquoise
AAK1	NA	turquoise
AAMDC	NA	turquoise
AAMP	NA	turquoise
AANAT	NA	grey
AAR2	NA	turquoise
AARD	NA	blue
AARS1	NA	turquoise
AARS2	NA	turquoise
AARSD1	NA	turquoise
AARSD1P1	NA	brown
AASDH	NA	turquoise
AASDHPPT	NA	turquoise
AASS	NA	turquoise
AATBC	NA	turquoise
AATF	NA	yellow
AATK	NA	brown
ABALON	NA	brown
ABAT	NA	brown
ABCA1	NA	blue
ABCA10	NA	brown
ABCA11P	NA	turquoise
ABCA13	NA	turquoise
ABCA17P	NA	blue
ABCA2	NA	turquoise
ABCA3	NA	turquoise
ABCA5	NA	turquoise
ABCA6	NA	turquoise
ABCA7	NA	green
ABCA9	NA	grey
ABCB1	NA	blue
ABCB10	NA	turquoise
ABCB11	NA	blue
ABCB4	NA	turquoise
ABCB6	NA	yellow
ABCB7	NA	turquoise
ABCB8	NA	turquoise
ABCB9	NA	turquoise
ABCC1	NA	turquoise
ABCC10	NA	turquoise
ABCC11	NA	green
ABCC13	NA	brown
ABCC2	NA	red
ABCC3	NA	yellow
ABCC4	NA	turquoise
ABCC5	NA	green
ABCC6	NA	blue
ABCC6P1	NA	yellow
ABCC6P2	NA	grey
ABCD1	NA	green
ABCD2	NA	turquoise
ABCD3	NA	turquoise
ABCD4	NA	turquoise
ABCE1	NA	turquoise
ABCF1	NA	turquoise
ABCF2	NA	turquoise
ABCF2-H2BK1	NA	turquoise
ABCF3	NA	turquoise
ABCG1	NA	brown
ABCG2	NA	brown
ABCG8	NA	grey
ABHD1	NA	turquoise
ABHD10	NA	turquoise
ABHD11	NA	turquoise
ABHD11-AS1	NA	grey
ABHD12	NA	turquoise
ABHD12B	NA	brown
ABHD13	NA	turquoise
ABHD14A	NA	turquoise
ABHD14A-ACY1	NA	brown
ABHD14B	NA	turquoise
ABHD15	NA	turquoise
ABHD16A	NA	green
ABHD16B	NA	grey
ABHD17A	NA	blue
ABHD17AP1	NA	turquoise
ABHD17AP3	NA	grey
ABHD17AP4	NA	turquoise
ABHD17AP5	NA	brown
ABHD17AP6	NA	turquoise
ABHD17B	NA	turquoise
ABHD17C	NA	grey
ABHD18	NA	turquoise
ABHD2	NA	brown
ABHD3	NA	green
ABHD4	NA	brown
ABHD5	NA	brown
ABHD6	NA	turquoise
ABHD8	NA	brown
ABI1	NA	green
ABI2	NA	turquoise
ABI3	NA	blue
ABI3BP	NA	grey
ABITRAM	NA	green
ABL1	NA	turquoise
ABL2	NA	turquoise
ABLIM1	NA	turquoise
ABLIM2	NA	turquoise
ABLIM3	NA	yellow
ABO	NA	turquoise
ABR	NA	green
ABRA	NA	grey
ABRACL	NA	turquoise
ABRAXAS1	NA	turquoise
ABRAXAS2	NA	turquoise
ABT1	NA	turquoise
ABTB1	NA	brown
ABTB2	NA	turquoise
ACAA1	NA	brown
ACAA2	NA	blue
ACAA2P1	NA	grey
ACACA	NA	turquoise
ACACB	NA	turquoise
ACAD10	NA	red
ACAD11	NA	turquoise
ACAD8	NA	turquoise
ACAD9	NA	turquoise
ACAD9-DT	NA	blue
ACADM	NA	turquoise
ACADS	NA	turquoise
ACADSB	NA	turquoise
ACADVL	NA	turquoise
ACAN	NA	turquoise
ACAP1	NA	yellow
ACAP2	NA	brown
ACAP2-IT1	NA	yellow
ACAP3	NA	turquoise
ACAT1	NA	turquoise
ACAT2	NA	turquoise
ACBD3	NA	yellow
ACBD3-AS1	NA	turquoise
ACBD4	NA	turquoise
ACBD5	NA	turquoise
ACBD6	NA	turquoise
ACBD7	NA	brown
ACCS	NA	turquoise
ACCSL	NA	green
ACD	NA	turquoise
ACE	NA	turquoise
ACE2	NA	grey
ACER1	NA	turquoise
ACER2	NA	turquoise
ACER3	NA	turquoise
ACHE	NA	grey
ACIN1	NA	yellow
ACKR1	NA	yellow
ACKR2	NA	grey
ACKR3	NA	blue
ACKR4	NA	turquoise
ACKR4P1	NA	grey
ACLY	NA	turquoise
ACMSD	NA	grey
ACO1	NA	turquoise
ACO2	NA	turquoise
ACOD1	NA	grey
ACOT1	NA	turquoise
ACOT11	NA	turquoise
ACOT12	NA	turquoise
ACOT13	NA	turquoise
ACOT2	NA	turquoise
ACOT4	NA	turquoise
ACOT6	NA	turquoise
ACOT7	NA	turquoise
ACOT8	NA	turquoise
ACOT9	NA	green
ACOX1	NA	brown
ACOX2	NA	grey
ACOX3	NA	turquoise
ACOXL	NA	yellow
ACOXL-AS1	NA	grey
ACP1	NA	turquoise
ACP2	NA	turquoise
ACP3	NA	blue
ACP5	NA	turquoise
ACP6	NA	turquoise
ACP7	NA	blue
ACRBP	NA	turquoise
ACSBG1	NA	blue
ACSBG2	NA	grey
ACSF2	NA	turquoise
ACSF3	NA	turquoise
ACSL1	NA	brown
ACSL3	NA	green
ACSL4	NA	brown
ACSL5	NA	turquoise
ACSL6	NA	turquoise
ACSM1	NA	blue
ACSM3	NA	turquoise
ACSM5	NA	turquoise
ACSS1	NA	turquoise
ACSS2	NA	brown
ACSS3	NA	brown
ACTA1	NA	grey
ACTA2	NA	yellow
ACTA2-AS1	NA	grey
ACTB	NA	brown
ACTBP14	NA	blue
ACTBP15	NA	blue
ACTBP2	NA	grey
ACTBP4	NA	turquoise
ACTG1	NA	turquoise
ACTG1P1	NA	turquoise
ACTG1P10	NA	yellow
ACTG1P14	NA	grey
ACTG1P15	NA	turquoise
ACTG1P16	NA	grey
ACTG1P17	NA	turquoise
ACTG1P20	NA	yellow
ACTG1P22	NA	blue
ACTG1P24	NA	grey
ACTG1P25	NA	blue
ACTG1P3	NA	turquoise
ACTG1P4	NA	turquoise
ACTG2	NA	grey
ACTL10	NA	turquoise
ACTL6A	NA	turquoise
ACTL9	NA	brown
ACTN1	NA	brown
ACTN1-DT	NA	grey
ACTN2	NA	grey
ACTN3	NA	grey
ACTN4	NA	green
ACTR10	NA	turquoise
ACTR1A	NA	green
ACTR1B	NA	turquoise
ACTR2	NA	green
ACTR3	NA	green
ACTR3-AS1	NA	red
ACTR3B	NA	turquoise
ACTR3C	NA	grey
ACTR5	NA	turquoise
ACTR6	NA	blue
ACTR8	NA	turquoise
ACTRT3	NA	turquoise
ACVR1	NA	turquoise
ACVR1B	NA	green
ACVR1C	NA	turquoise
ACVR2A	NA	turquoise
ACVR2B	NA	turquoise
ACVR2B-AS1	NA	turquoise
ACVRL1	NA	grey
ACY1	NA	turquoise
ACY3	NA	turquoise
ACYP1	NA	turquoise
ACYP2	NA	turquoise
ADA	NA	blue
ADA2	NA	turquoise
ADAD2	NA	turquoise
ADAL	NA	turquoise
ADAM10	NA	green
ADAM11	NA	grey
ADAM12	NA	turquoise
ADAM15	NA	brown
ADAM17	NA	green
ADAM19	NA	brown
ADAM1A	NA	grey
ADAM1B	NA	grey
ADAM20	NA	blue
ADAM20P1	NA	yellow
ADAM21	NA	grey
ADAM22	NA	turquoise
ADAM23	NA	turquoise
ADAM28	NA	turquoise
ADAM29	NA	blue
ADAM32	NA	yellow
ADAM33	NA	grey
ADAM7-AS1	NA	blue
ADAM8	NA	brown
ADAM9	NA	brown
ADAMDEC1	NA	blue
ADAMTS1	NA	blue
ADAMTS10	NA	blue
ADAMTS12	NA	green
ADAMTS13	NA	turquoise
ADAMTS14	NA	grey
ADAMTS16	NA	grey
ADAMTS17	NA	turquoise
ADAMTS2	NA	blue
ADAMTS3	NA	turquoise
ADAMTS4	NA	turquoise
ADAMTS5	NA	brown
ADAMTS6	NA	turquoise
ADAMTS7	NA	grey
ADAMTS7P1	NA	turquoise
ADAMTS7P3	NA	grey
ADAMTS7P4	NA	turquoise
ADAMTS8	NA	blue
ADAMTSL1	NA	grey
ADAMTSL2	NA	turquoise
ADAMTSL4	NA	brown
ADAMTSL4-AS1	NA	brown
ADAMTSL4-AS2	NA	grey
ADAMTSL5	NA	blue
ADAP1	NA	brown
ADAP2	NA	brown
ADAR	NA	brown
ADARB1	NA	turquoise
ADARB2	NA	grey
ADAT1	NA	turquoise
ADAT2	NA	blue
ADAT3	NA	turquoise
ADCK1	NA	turquoise
ADCK2	NA	turquoise
ADCK5	NA	turquoise
ADCY1	NA	grey
ADCY10	NA	grey
ADCY10P1	NA	turquoise
ADCY3	NA	turquoise
ADCY4	NA	green
ADCY5	NA	turquoise
ADCY6	NA	grey
ADCY7	NA	turquoise
ADCY9	NA	blue
ADD1	NA	turquoise
ADD2	NA	turquoise
ADD3	NA	turquoise
ADD3-AS1	NA	green
ADGB	NA	grey
ADGRA2	NA	red
ADGRA3	NA	turquoise
ADGRB1	NA	turquoise
ADGRB2	NA	blue
ADGRB3	NA	blue
ADGRB3-DT	NA	red
ADGRD1	NA	brown
ADGRE1	NA	turquoise
ADGRE2	NA	brown
ADGRE3	NA	brown
ADGRE4P	NA	turquoise
ADGRE5	NA	brown
ADGRF3	NA	blue
ADGRF5	NA	grey
ADGRG1	NA	blue
ADGRG2	NA	grey
ADGRG3	NA	brown
ADGRG5	NA	blue
ADGRG6	NA	turquoise
ADGRL1	NA	blue
ADGRL1-AS1	NA	turquoise
ADGRL2	NA	grey
ADGRV1	NA	turquoise
ADH5	NA	turquoise
ADH5P4	NA	yellow
ADH6	NA	turquoise
ADHFE1	NA	blue
ADI1	NA	turquoise
ADIPOR1	NA	turquoise
ADIPOR2	NA	turquoise
ADIRF	NA	turquoise
ADIRF-AS1	NA	turquoise
ADK	NA	turquoise
ADM	NA	brown
ADM-DT	NA	blue
ADM2	NA	brown
ADM5	NA	yellow
ADNP	NA	turquoise
ADNP-AS1	NA	blue
ADNP2	NA	turquoise
ADO	NA	turquoise
ADORA1	NA	grey
ADORA2A	NA	brown
ADORA2A-AS1	NA	brown
ADORA2B	NA	green
ADORA3	NA	turquoise
ADPGK	NA	red
ADPGK-AS1	NA	grey
ADPRH	NA	yellow
ADPRHL1	NA	grey
ADPRM	NA	turquoise
ADPRS	NA	turquoise
ADRA1B	NA	grey
ADRA2A	NA	green
ADRA2B	NA	grey
ADRB1	NA	green
ADRB2	NA	turquoise
ADRM1	NA	turquoise
ADSL	NA	turquoise
ADSS1	NA	blue
ADSS2	NA	turquoise
ADTRP	NA	blue
AEBP1	NA	turquoise
AEBP2	NA	turquoise
AEN	NA	turquoise
AFAP1	NA	blue
AFAP1-AS1	NA	grey
AFAP1L1	NA	grey
AFAP1L2	NA	turquoise
AFDN	NA	green
AFDN-DT	NA	grey
AFF1	NA	yellow
AFF2	NA	green
AFF3	NA	turquoise
AFF4	NA	turquoise
AFG1L	NA	turquoise
AFG3L1P	NA	turquoise
AFG3L2	NA	turquoise
AFMID	NA	turquoise
AFTPH	NA	green
AFTPH-DT	NA	turquoise
AGA	NA	turquoise
AGA-DT	NA	turquoise
AGAP1	NA	blue
AGAP10P	NA	turquoise
AGAP11	NA	grey
AGAP12P	NA	turquoise
AGAP13P	NA	turquoise
AGAP14P	NA	yellow
AGAP2	NA	yellow
AGAP2-AS1	NA	turquoise
AGAP3	NA	turquoise
AGAP4	NA	turquoise
AGAP5	NA	turquoise
AGAP6	NA	turquoise
AGAP7P	NA	green
AGAP9	NA	turquoise
AGBL2	NA	turquoise
AGBL3	NA	turquoise
AGBL4	NA	grey
AGBL5	NA	turquoise
AGBL5-IT1	NA	grey
AGER	NA	green
AGFG1	NA	brown
AGFG2	NA	turquoise
AGGF1	NA	turquoise
AGGF1P1	NA	grey
AGGF1P2	NA	turquoise
AGK	NA	turquoise
AGL	NA	turquoise
AGMAT	NA	turquoise
AGMO	NA	blue
AGO1	NA	green
AGO2	NA	green
AGO3	NA	turquoise
AGO4	NA	brown
AGPAT1	NA	brown
AGPAT2	NA	blue
AGPAT3	NA	turquoise
AGPAT4	NA	turquoise
AGPAT5	NA	turquoise
AGPS	NA	turquoise
AGRN	NA	turquoise
AGRP	NA	brown
AGT	NA	grey
AGTPBP1	NA	brown
AGTRAP	NA	brown
AHCTF1	NA	brown
AHCTF1P1	NA	blue
AHCY	NA	turquoise
AHCYL1	NA	turquoise
AHCYL2	NA	turquoise
AHCYP2	NA	grey
AHDC1	NA	turquoise
AHI1	NA	turquoise
AHI1-DT	NA	turquoise
AHNAK	NA	turquoise
AHNAK2	NA	green
AHR	NA	yellow
AHRR	NA	yellow
AHSA1	NA	turquoise
AHSA2P	NA	turquoise
AHSP	NA	green
AICDA	NA	yellow
AIDA	NA	turquoise
AIDAP1	NA	grey
AIDAP2	NA	brown
AIF1	NA	blue
AIF1L	NA	grey
AIFM1	NA	turquoise
AIFM2	NA	turquoise
AIFM3	NA	red
AIG1	NA	grey
AIM2	NA	brown
AIMP1	NA	turquoise
AIMP2	NA	turquoise
AIP	NA	turquoise
AIRE	NA	blue
AIRN	NA	grey
AJAP1	NA	turquoise
AJM1	NA	blue
AJUBA	NA	turquoise
AJUBA-DT	NA	yellow
AK1	NA	blue
AK2	NA	turquoise
AK3	NA	turquoise
AK3P3	NA	turquoise
AK3P5	NA	turquoise
AK4	NA	grey
AK4P1	NA	blue
AK4P3	NA	grey
AK4P4	NA	grey
AK5	NA	blue
AK6	NA	blue
AK7	NA	yellow
AK8	NA	blue
AK9	NA	turquoise
AKAP1	NA	turquoise
AKAP1-DT	NA	brown
AKAP10	NA	green
AKAP11	NA	turquoise
AKAP12	NA	turquoise
AKAP13	NA	yellow
AKAP17A	NA	yellow
AKAP3	NA	turquoise
AKAP5	NA	blue
AKAP6	NA	turquoise
AKAP7	NA	turquoise
AKAP8	NA	turquoise
AKAP8L	NA	turquoise
AKAP9	NA	turquoise
AKIP1	NA	turquoise
AKIRIN1	NA	red
AKIRIN2	NA	brown
AKNA	NA	green
AKR1A1	NA	turquoise
AKR1B1	NA	turquoise
AKR1B10	NA	grey
AKR1C1	NA	grey
AKR1C2	NA	grey
AKR1C3	NA	blue
AKR1C7P	NA	grey
AKR1C8	NA	grey
AKR1D1P1	NA	grey
AKR1E2	NA	grey
AKR7A2	NA	turquoise
AKR7A2P1	NA	grey
AKR7A3	NA	blue
AKR7L	NA	grey
AKT1	NA	yellow
AKT1S1	NA	grey
AKT2	NA	turquoise
AKT3	NA	turquoise
AKTIP	NA	turquoise
ALAD	NA	turquoise
ALAS1	NA	green
ALAS2	NA	green
ALB	NA	grey
ALCAM	NA	green
ALDH16A1	NA	turquoise
ALDH18A1	NA	blue
ALDH1A1	NA	turquoise
ALDH1A2	NA	turquoise
ALDH1A3	NA	grey
ALDH1A3-AS1	NA	grey
ALDH1B1	NA	blue
ALDH1L1	NA	yellow
ALDH1L2	NA	grey
ALDH2	NA	blue
ALDH3A2	NA	turquoise
ALDH3B1	NA	brown
ALDH3B2	NA	grey
ALDH4A1	NA	yellow
ALDH5A1	NA	turquoise
ALDH6A1	NA	turquoise
ALDH7A1	NA	grey
ALDH7A1P3	NA	grey
ALDH8A1	NA	turquoise
ALDH9A1	NA	turquoise
ALDOA	NA	blue
ALDOB	NA	grey
ALDOC	NA	turquoise
ALG1	NA	turquoise
ALG10	NA	turquoise
ALG10B	NA	turquoise
ALG11	NA	turquoise
ALG12	NA	turquoise
ALG13	NA	turquoise
ALG14	NA	turquoise
ALG1L	NA	grey
ALG1L13P	NA	brown
ALG1L2	NA	grey
ALG1L6P	NA	grey
ALG1L9P	NA	blue
ALG2	NA	turquoise
ALG3	NA	turquoise
ALG3P1	NA	yellow
ALG5	NA	turquoise
ALG6	NA	turquoise
ALG8	NA	turquoise
ALG9	NA	turquoise
ALK	NA	turquoise
ALKAL2	NA	turquoise
ALKBH1	NA	turquoise
ALKBH2	NA	turquoise
ALKBH3	NA	blue
ALKBH3-AS1	NA	blue
ALKBH4	NA	red
ALKBH5	NA	turquoise
ALKBH6	NA	turquoise
ALKBH7	NA	grey
ALKBH8	NA	turquoise
ALMS1	NA	turquoise
ALMS1-IT1	NA	grey
ALMS1P1	NA	brown
ALOX12	NA	grey
ALOX12-AS1	NA	yellow
ALOX12B	NA	turquoise
ALOX12P2	NA	blue
ALOX15	NA	turquoise
ALOX15B	NA	turquoise
ALOX15P1	NA	turquoise
ALOX5	NA	brown
ALOX5AP	NA	brown
ALOXE3	NA	turquoise
ALPK1	NA	brown
ALPK2	NA	blue
ALPK3	NA	brown
ALPL	NA	blue
ALPP	NA	grey
ALS2	NA	turquoise
ALS2CL	NA	turquoise
ALX4	NA	blue
ALYREF	NA	red
AMACR	NA	turquoise
AMBN	NA	turquoise
AMBRA1	NA	turquoise
AMD1	NA	red
AMD1P3	NA	grey
AMDHD1	NA	turquoise
AMDHD2	NA	turquoise
AMER1	NA	turquoise
AMFR	NA	turquoise
AMH	NA	turquoise
AMHR2	NA	grey
AMIGO1	NA	turquoise
AMIGO2	NA	turquoise
AMIGO3	NA	turquoise
AMMECR1	NA	turquoise
AMMECR1L	NA	turquoise
AMN	NA	grey
AMN1	NA	red
AMOT	NA	blue
AMOTL1	NA	blue
AMOTL2	NA	grey
AMPD1	NA	grey
AMPD2	NA	brown
AMPD3	NA	brown
AMPH	NA	grey
AMT	NA	turquoise
AMY2B	NA	turquoise
AMZ1	NA	yellow
AMZ2	NA	turquoise
AMZ2P1	NA	turquoise
AMZ2P2	NA	grey
ANAPC1	NA	turquoise
ANAPC10	NA	brown
ANAPC10P1	NA	blue
ANAPC11	NA	turquoise
ANAPC13	NA	brown
ANAPC15	NA	turquoise
ANAPC16	NA	turquoise
ANAPC1P1	NA	turquoise
ANAPC1P2	NA	turquoise
ANAPC2	NA	turquoise
ANAPC4	NA	turquoise
ANAPC5	NA	turquoise
ANAPC7	NA	turquoise
ANG	NA	yellow
ANGEL1	NA	turquoise
ANGEL2	NA	turquoise
ANGPT1	NA	blue
ANGPT2	NA	blue
ANGPT4	NA	turquoise
ANGPTL1	NA	turquoise
ANGPTL2	NA	grey
ANGPTL4	NA	yellow
ANGPTL6	NA	turquoise
ANGPTL7	NA	grey
ANGPTL8	NA	grey
ANK1	NA	green
ANK2	NA	grey
ANK3	NA	turquoise
ANK3-DT	NA	turquoise
ANKAR	NA	turquoise
ANKDD1A	NA	turquoise
ANKDD1B	NA	blue
ANKEF1	NA	turquoise
ANKFN1	NA	turquoise
ANKFY1	NA	turquoise
ANKH	NA	turquoise
ANKH-DT	NA	blue
ANKHD1	NA	green
ANKHD1-DT	NA	turquoise
ANKHD1-EIF4EBP3	NA	blue
ANKIB1	NA	turquoise
ANKK1	NA	turquoise
ANKLE1	NA	turquoise
ANKLE2	NA	turquoise
ANKMY1	NA	turquoise
ANKMY2	NA	blue
ANKRA2	NA	turquoise
ANKRD1	NA	grey
ANKRD10	NA	turquoise
ANKRD10-IT1	NA	turquoise
ANKRD11	NA	yellow
ANKRD11P2	NA	turquoise
ANKRD12	NA	turquoise
ANKRD13A	NA	green
ANKRD13B	NA	turquoise
ANKRD13C	NA	turquoise
ANKRD13D	NA	green
ANKRD16	NA	turquoise
ANKRD17	NA	turquoise
ANKRD18A	NA	turquoise
ANKRD18B	NA	brown
ANKRD18CP	NA	grey
ANKRD18DP	NA	grey
ANKRD18EP	NA	turquoise
ANKRD19P	NA	turquoise
ANKRD2	NA	turquoise
ANKRD20A1	NA	grey
ANKRD20A11P	NA	turquoise
ANKRD20A17P	NA	grey
ANKRD20A2P	NA	turquoise
ANKRD20A3P	NA	blue
ANKRD20A4P	NA	green
ANKRD20A5P	NA	blue
ANKRD20A7P	NA	grey
ANKRD20A9P	NA	blue
ANKRD22	NA	brown
ANKRD23	NA	turquoise
ANKRD24	NA	turquoise
ANKRD26	NA	turquoise
ANKRD26P4	NA	grey
ANKRD27	NA	turquoise
ANKRD28	NA	turquoise
ANKRD29	NA	yellow
ANKRD30B	NA	grey
ANKRD31	NA	turquoise
ANKRD33B	NA	turquoise
ANKRD34A	NA	turquoise
ANKRD34B	NA	brown
ANKRD35	NA	grey
ANKRD36	NA	blue
ANKRD36B	NA	turquoise
ANKRD36BP2	NA	turquoise
ANKRD36C	NA	turquoise
ANKRD37	NA	turquoise
ANKRD39	NA	turquoise
ANKRD40	NA	turquoise
ANKRD42	NA	turquoise
ANKRD42-DT	NA	turquoise
ANKRD44	NA	yellow
ANKRD44-AS1	NA	turquoise
ANKRD44-DT	NA	turquoise
ANKRD44-IT1	NA	grey
ANKRD46	NA	blue
ANKRD49	NA	turquoise
ANKRD49P1	NA	yellow
