ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	gene_type
GO:0002228	GO:0002228	natural killer cell mediated immunity	28/1693	77/18903	3.74513647012141e-11	2.16618693431823e-07	1.94707673957154e-07	CADM1/CD160/CD2/CD226/CRTAM/FCGR3A/GZMB/HAVCR2/IL21/KIR3DL1/KLRB1/KLRC2/KLRC3/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/LEP/NCR1/NCR3/NECTIN2/NKG7/PVR/SH2D1A/SH2D1B/SLAMF7/ULBP2/ULBP3	28	MEblue
GO:0001819	GO:0001819	positive regulation of cytokine production	87/1693	486/18903	2.5509171839124e-10	4.9181683305831e-07	4.42069472678713e-07	AGPAT2/AIF1/AIRE/APOA2/BMPR1A/C1QTNF4/CADM1/CARD11/CARD9/CCL3/CD160/CD2/CD226/CD244/CD80/CD81/CHI3L1/CLEC4E/CLEC9A/CRTAM/CSF1R/CX3CL1/EREG/F2R/FCER1G/FCGR3A/FFAR2/FFAR3/FZD5/GATA3/GLMN/HAVCR2/HEG1/HMOX1/HPSE/HRAS/IFNG/IL12RB1/IL12RB2/IL17D/IL1A/IL1B/IL2/IL20RB/IL21/IL23A/IL23R/KLRC4-KLRK1/KLRK1/LEP/LILRA5/MDK/NFATC4/NLRC4/NLRP2/OAS2/ORM1/ORM2/PDE4D/PLCB1/PRG2/PRKCQ/PYCARD/PYHIN1/RAB7B/RFTN1/RORA/SCRIB/SPN/SPON2/SRC/TBX21/TIGIT/TLR2/TLR3/TLR5/TMIGD2/TNFRSF8/TNFSF4/TREM2/TRIM16/TRIM6/TXK/WNT5A/XBP1/XCL1/ZFPM1	87	MEblue
GO:0002181	GO:0002181	cytoplasmic translation	41/1693	161/18903	5.25049837348344e-10	5.75886008397037e-07	5.17635035938154e-07	DPH3P1/DPH6/EIF2S3B/FAU/LIN28A/RPL10A/RPL11/RPL14/RPL15/RPL17/RPL21/RPL22/RPL23/RPL26/RPL27/RPL27A/RPL3/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36A/RPL39/RPL41/RPL7/RPL9/RPLP1/RPS10/RPS14/RPS15A/RPS17/RPS18/RPS21/RPS24/RPS25/RPS27/RPS29/RPS3A/RPS7/ZNF385A	41	MEblue
GO:0032609	GO:0032609	interferon-gamma production	34/1693	119/18903	5.97392124893192e-10	5.75886008397037e-07	5.17635035938154e-07	CD160/CD2/CD226/CD244/CRTAM/FZD5/GATA3/HAVCR2/HRAS/IL12RB1/IL12RB2/IL1B/IL2/IL20RB/IL21/IL23A/IL23R/INHA/KLRC4-KLRK1/KLRK1/LGALS9B/NLRP6/PDCD1LG2/PDE4D/PGLYRP1/PGLYRP2/PYCARD/SCRIB/TLR3/TNFSF4/TXK/WNT5A/XCL1/ZFPM1	34	MEblue
GO:0045954	GO:0045954	positive regulation of natural killer cell mediated cytotoxicity	15/1693	27/18903	1.10935467057216e-09	9.16643916369911e-07	8.23925220745248e-07	CADM1/CD160/CD226/CRTAM/IL21/KLRC2/KLRC3/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/NCR3/NECTIN2/PVR/SH2D1A	15	MEblue
GO:0001909	GO:0001909	leukocyte mediated cytotoxicity	35/1693	134/18903	4.64365652644539e-09	2.77363371267856e-06	2.49308016796233e-06	CADM1/CD160/CD2/CD226/CRTAM/CX3CR1/FCGR3A/GZMB/GZMM/HAVCR2/IL12RB1/IL21/IL23A/IL23R/KIR3DL1/KLRB1/KLRC2/KLRC3/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/LEP/NCR1/NCR3/NECTIN2/NKG7/NLRP6/PRF1/PVR/SH2D1A/SLAMF7/ULBP2/ULBP3/XCL1	35	MEblue
GO:0030101	GO:0030101	natural killer cell activation	29/1693	99/18903	5.75449273505736e-09	2.77363371267856e-06	2.49308016796233e-06	CD2/CD244/FCGR3A/GATA3/HAVCR2/IFNA21/IL2/IL21R/IL23A/IL23R/IL2RB/KLRC2/KLRC3/KLRC4-KLRK1/KLRD1/KLRK1/LEP/NCR1/NCR3/NKG7/PBX1/PGLYRP1/PGLYRP2/SLAMF7/TOX/TYRO3/ULBP2/ULBP3/ZNF683	29	MEblue
GO:0046631	GO:0046631	alpha-beta T cell activation	41/1693	174/18903	6.27476400440042e-09	2.77363371267856e-06	2.49308016796233e-06	ADA/ARG2/CARD11/CD160/CD247/CD80/CD81/CDH26/CRTAM/EOMES/FUT7/GATA3/GPR18/IFNG/IHH/IL12RB1/IL2/IL21/IL23A/IL23R/KLHL25/LGALS9B/LOXL3/NKG7/PRKCQ/RELB/RORA/RPL22/RUNX3/SH3RF1/SMAD7/SOCS1/SPN/TBX21/TNFSF4/TOX/XCL1/ZAP70/ZBTB16/ZFPM1/ZNF683	41	MEblue
GO:0001906	GO:0001906	cell killing	43/1693	189/18903	8.34232509640808e-09	3.21680055717495e-06	2.89142060709891e-06	CADM1/CD160/CD2/CD226/CRTAM/CX3CR1/FCGR3A/GNLY/GZMB/GZMM/HAMP/HAVCR2/IFNG/IL12RB1/IL21/IL23A/IL23R/KIR3DL1/KLRB1/KLRC2/KLRC3/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/LEP/LTF/NCR1/NCR3/NECTIN2/NKG7/NLRP6/PGLYRP1/PGLYRP4/PRF1/PVR/RPL30/SEMG1/SH2D1A/SLAMF7/ULBP2/ULBP3/XCL1	43	MEblue
GO:0030217	GO:0030217	T cell differentiation	58/1693	296/18903	9.19448886110606e-09	3.32380772328984e-06	2.9876039792765e-06	ADA/AIRE/CARD11/CD2/CD80/CD8A/CLEC4D/CLEC4E/CRTAM/EGR3/EOMES/ERBB2/FCER1G/FUT7/FZD5/FZD8/GATA3/GPR18/IFNG/IHH/IL12RB1/IL1A/IL1B/IL2/IL21/IL23A/IL23R/JAG2/KLHL25/LAG3/LCK/LEP/LOXL3/MAFB/MDK/PIK3R3/RAG1/RELB/RORA/RPL22/RUNX3/SH3RF1/SLC46A2/SMAD7/SOCS1/SOX13/SPN/TBX21/THEMIS/TNFSF4/TOX/VNN1/WNT10B/XBP1/ZAP70/ZBTB16/ZFPM1/ZNF683	58	MEblue
