ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	gene_type	
GO:0006614	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	37/1696	105/18862	9.75E-14	6.76E-10	6.29E-10	RN7SL1/RN7SL2/RPL10A/RPL11/RPL14/RPL15/RPL17/RPL21/RPL22/RPL23/RPL26/RPL27/RPL27A/RPL3/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36A/RPL39/RPL41/RPL7/RPL9/RPLP1/RPS10/RPS14/RPS15A/RPS17/RPS18/RPS21/RPS24/RPS25/RPS27/RPS29/RPS3A/RPS7	37	blue
GO:0000184	GO:0000184	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	38/1696	120/18862	2.08E-12	3.60E-09	3.35E-09	GSPT1/MAGOH/PNLDC1/RPL10A/RPL11/RPL14/RPL15/RPL17/RPL21/RPL22/RPL23/RPL26/RPL27/RPL27A/RPL3/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36A/RPL39/RPL41/RPL7/RPL9/RPLP1/RPS10/RPS14/RPS15A/RPS17/RPS18/RPS21/RPS24/RPS25/RPS27/RPS29/RPS3A/RPS7	38	blue
GO:0072599	GO:0072599	establishment of protein localization to endoplasmic reticulum	38/1696	124/18862	6.42E-12	8.90E-09	8.28E-09	RN7SL1/RN7SL2/RPL10A/RPL11/RPL14/RPL15/RPL17/RPL21/RPL22/RPL23/RPL26/RPL27/RPL27A/RPL3/RPL30/RPL31/RPL34/RPL35/RPL35A/RPL36A/RPL39/RPL41/RPL7/RPL9/RPLP1/RPS10/RPS14/RPS15A/RPS17/RPS18/RPS21/RPS24/RPS25/RPS27/RPS29/RPS3A/RPS7/SEC61G	38	blue
GO:0050863	GO:0050863	regulation of T cell activation	66/1696	327/18862	2.84E-10	3.28E-07	3.05E-07	ADA/AIF1/ARG2/CARD11/CD160/CD2/CD80/CD81/CRTAM/DLG5/EGR3/ERBB2/GATA3/GLMN/GRAP2/HAVCR2/IFNG/IHH/IL12RB1/IL1A/IL1B/IL2/IL20RB/IL21/IL23A/IL23R/KLRC4-KLRK1/KLRK1/LAG3/LAT/LAX1/LCK/LEP/LGALS9B/LOXL3/MDK/NFATC2/PDCD1/PDCD1LG2/PRKCQ/PYCARD/RAG1/RUNX3/SCRIB/SH3RF1/SLC46A2/SMAD7/SOCS1/SOX13/SPN/SPTA1/SRC/TBX21/TIGIT/TMIGD2/TNFRSF18/TNFSF13B/TNFSF4/TOX/VNN1/XBP1/XCL1/YES1/ZAP70/ZBTB16/ZNF683	66	blue
GO:0042110	GO:0042110	T cell activation	85/1696	474/18862	4.56E-10	3.95E-07	3.68E-07	ADA/AIF1/AIRE/ARG2/CARD11/CD160/CD2/CD7/CD80/CD81/CD8A/CDH26/CRTAM/DLG5/EGR3/EOMES/ERBB2/FCER1G/FKBP1B/FUT7/FZD5/GATA3/GLMN/GRAP2/HAVCR2/IFNA21/IFNG/IHH/IL12RB1/IL1A/IL1B/IL2/IL20RB/IL21/IL23A/IL23R/JAG2/KLRC4-KLRK1/KLRK1/LAG3/LAT/LAX1/LCK/LEP/LGALS9B/LOXL3/MAFB/MDK/NFATC2/PDCD1/PDCD1LG2/PRKCQ/PYCARD/RAG1/RELB/RORA/RPL22/RUNX3/SCRIB/SH3RF1/SLA2/SLC46A2/SMAD7/SOCS1/SOX13/SPN/SPTA1/SRC/TBX21/THEMIS/TIGIT/TMIGD2/TNFRSF18/TNFSF13B/TNFSF4/TOX/TREML2/VNN1/XBP1/XCL1/YES1/ZAP70/ZBTB16/ZFPM1/ZNF683	85	blue
GO:0045954	GO:0045954	positive regulation of natural killer cell mediated cytotoxicity	15/1696	26/18862	5.68E-10	4.38E-07	4.07E-07	CADM1/CD160/CD226/CRTAM/IL18RAP/IL21/KLRC2/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/NCR3/NECTIN2/PVR/SH2D1A	15	blue
GO:0002228	GO:0002228	natural killer cell mediated immunity	24/1696	67/18862	1.43E-09	7.88E-07	7.33E-07	CADM1/CD160/CD226/CRTAM/GZMB/HAVCR2/IL18RAP/IL21/KIR3DL1/KLRC2/KLRC4-KLRK1/KLRD1/KLRK1/LAG3/LEP/NCR1/NCR3/NECTIN2/PVR/SH2D1A/SH2D1B/SLAMF7/ULBP2/ULBP3	24	blue
GO:0030217	GO:0030217	T cell differentiation	53/1696	246/18862	1.48E-09	7.88E-07	7.33E-07	ADA/AIRE/CARD11/CD2/CD80/CD8A/CRTAM/EGR3/EOMES/ERBB2/FCER1G/FUT7/FZD5/GATA3/IFNG/IHH/IL12RB1/IL1A/IL1B/IL2/IL21/IL23A/IL23R/JAG2/LAG3/LCK/LEP/LOXL3/MAFB/MDK/NFATC2/RAG1/RELB/RORA/RPL22/RUNX3/SH3RF1/SLC46A2/SMAD7/SOCS1/SOX13/SPN/TBX21/THEMIS/TNFRSF18/TNFSF4/TOX/VNN1/XBP1/ZAP70/ZBTB16/ZFPM1/ZNF683	53	blue
GO:0007159	GO:0007159	leukocyte cell-cell adhesion	69/1696	366/18862	2.39E-09	1.18E-06	1.10E-06	ADA/ADTRP/AIF1/ARG2/CARD11/CCL28/CD160/CD177/CD80/CD81/CERCAM/CRTAM/CX3CR1/DLG5/EGR3/ERBB2/FUT7/GATA3/GFUS/GLMN/GRAP2/HAVCR2/IFNG/IHH/IL12RB1/IL1A/IL1B/IL2/IL20RB/IL21/IL23A/IL23R/KLF4/KLRC4-KLRK1/KLRK1/LAG3/LAX1/LCK/LEP/LGALS9B/LOXL3/MDK/PDCD1/PDCD1LG2/PRKCQ/PYCARD/RAG1/RUNX3/S100A9/SCRIB/SKAP1/SMAD7/SOCS1/SOX13/SPN/SPTA1/SRC/ST3GAL4/TBX21/TIGIT/TMIGD2/TNFSF13B/TNFSF4/VNN1/XBP1/XCL1/YES1/ZAP70/ZBTB16	69	blue
GO:1903037	GO:1903037	regulation of leukocyte cell-cell adhesion	64/1696	330/18862	2.84E-09	1.27E-06	1.18E-06	ADA/ADTRP/AIF1/ARG2/CARD11/CCL28/CD160/CD80/CD81/CRTAM/DLG5/EGR3/ERBB2/FUT7/GATA3/GLMN/GRAP2/HAVCR2/IFNG/IHH/IL12RB1/IL1A/IL1B/IL2/IL20RB/IL21/IL23A/IL23R/KLF4/KLRC4-KLRK1/KLRK1/LAG3/LAX1/LCK/LEP/LGALS9B/LOXL3/MDK/PDCD1/PDCD1LG2/PRKCQ/PYCARD/RAG1/RUNX3/SCRIB/SKAP1/SMAD7/SOCS1/SOX13/SPN/SPTA1/SRC/ST3GAL4/TBX21/TIGIT/TMIGD2/TNFSF13B/TNFSF4/VNN1/XBP1/XCL1/YES1/ZAP70/ZBTB16	64	blue
