ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	gene_type
GO:0002274	GO:0002274	myeloid leukocyte activation	71/1648	237/18903	3.32979639851245e-21	1.96158305836368e-17	1.46230637627305e-17	ADAM9/ADGRE2/C5AR1/CAMP/CBL/CCL5/CCR2/CD300A/CD300LF/CD33/CD93/CHGA/CLNK/CNR1/CXCR2/DYSF/F2RL1/FES/FGR/GAB2/GRN/HYAL2/IFNGR1/IFNGR2/IL18/IL4R/ITGAM/ITGB2/JUND/LAT2/LGALS9/LILRA2/LILRB4/LRRK2/LTBR/LYN/MILR1/MRGPRX2/MYD88/NMI/NOTCH2/PIK3CD/PJA2/PLCG2/PRAM1/PREX1/PRKCD/PSEN1/PTAFR/PTPN6/PTPRC/RAC2/RBPJ/S100A12/SBNO2/SLC11A1/SNAP23/SNCA/SPHK1/SPI1/STXBP2/SYK/TGFBR2/TLR1/TLR4/TLR6/TLR9/TSLP/TYROBP/UNC13D/VSIG4	71	MEbrown
GO:0002697	GO:0002697	regulation of immune effector process	86/1648	379/18903	7.19671494405953e-17	2.11979238677273e-13	1.58024709192718e-13	ADGRE2/ARID5A/ARRB2/BCL10/BCL6/CCR2/CD1D/CD300A/CD36/CD55/CD59/CEACAM1/CFP/CLEC4G/CLEC7A/CLNK/CR1/CR1L/CRK/CYRIB/F2RL1/FADD/FCGR1A/FCN1/FES/FGL2/FGR/GAB2/GRN/HFE/HLA-B/HLA-E/HLX/ICAM1/IL12A/IL12B/IL18/IL1R1/IL4I1/IL4R/IRAK3/ITGAM/ITGB2/JAK3/JUNB/KLRC1/LAMP1/LAPTM5/LGALS9/LILRB4/LITAF/LYN/MAPKAPK2/MYD88/NCF1/NFKBIZ/NLRP3/NLRX1/NOD2/PLCG2/PRAM1/PTAFR/PTPN6/PTPRC/PTPRJ/RAC2/RARA/SCIMP/SLC15A4/SPI1/STAT5B/STXBP2/SYK/TGFB1/TLR4/TLR9/TMBIM6/TNFRSF1B/TNFSF13/TYROBP/UBE2J1/UNC13D/VAV1/VSIG4/WAS/ZBTB7B	86	MEbrown
GO:0032103	GO:0032103	positive regulation of response to external stimulus	96/1648	464/18903	6.78861871281833e-16	1.33305842790709e-12	9.93758500697476e-13	ADAM8/AIM2/AKIRIN2/ALOX5AP/C5AR1/CAMK1D/CASP4/CCL5/CCR2/CD14/CD1D/CDK19/CEBPB/CLEC7A/CLNK/CNR1/CXCR2/CXCR4/CYBA/DAPK2/EMILIN2/F2RL1/F7/FADD/FCGR1A/FCN1/FPR2/GPSM3/GRN/HCK/HLA-E/HYAL2/IGF1R/IL12A/IL12B/IL17RA/IL18/IL6R/LAMP1/LGALS9/LILRA2/LPAR1/LRRK2/LYN/MAPK13/MAPK3/MGST2/MNDA/MOSPD2/NAIP/NDEL1/NEDD9/NFKBIA/NFKBIZ/NINJ1/NLRP12/NLRP3/NMI/NOD2/OSM/OSMR/PAK1/PAK2/PDGFD/PLAU/PLCG2/PPM1F/PTGS2/RAC1/RAC2/RIPOR2/S100A12/S100A8/SCARF1/SCIMP/SLC15A4/SNCA/SPI1/STAT5B/STX3/SYK/TASL/TGFB1/THBD/TLR4/TLR8/TLR9/TNFRSF11A/TNFRSF1A/TNFSF14/TNIP1/TRPV4/TSLP/TYROBP/VAV1/ZNFX1	96	MEbrown
GO:0002275	GO:0002275	myeloid cell activation involved in immune response	36/1648	96/18903	8.87577513881724e-15	1.04574382685545e-11	7.79573344824116e-12	ADGRE2/CBL/CCR2/CD300A/CHGA/CLNK/DYSF/F2RL1/FES/FGR/GAB2/GRN/IL4R/ITGAM/ITGB2/LAT2/LGALS9/LILRA2/LYN/MILR1/MRGPRX2/MYD88/NMI/PIK3CD/PLCG2/PRAM1/PTAFR/PTPN6/RAC2/SBNO2/SNAP23/SPI1/STXBP2/SYK/TYROBP/UNC13D	36	MEbrown
GO:0001819	GO:0001819	positive regulation of cytokine production	96/1648	486/18903	1.4471193894793e-14	1.42083005390376e-11	1.05918984086099e-11	ADAM8/AGPAT1/AIM2/AKIRIN2/ARHGEF2/ARID5A/BCL10/BCL3/C5AR1/CCR2/CD14/CD36/CD55/CEBPB/CLEC5A/CLEC7A/CLNK/CYBA/CYBB/CYP1B1/CYRIB/DDIT3/EGR1/F2RL1/FADD/FCN1/FGR/FLOT1/FRMD8/FURIN/GAPDH/GPSM3/HLA-E/HSPA1A/HSPA1B/HYAL2/IFNGR1/IL12A/IL12B/IL17RA/IL18/IL1R1/IL1RAP/IL1RL2/IL4R/IL6R/IRAK3/IRF1/LAPTM5/LGALS9/LILRA2/LILRB2/LRRK2/MAPK13/MAPK14/MAPKAPK2/MBP/MEFV/MNDA/MYD88/NAIP/NFAM1/NLRP12/NLRP3/NOD2/OSM/PANX2/PELI1/PIK3CD/PLCG2/PSEN1/PTAFR/PTGS2/PTPRC/PTPRJ/RAB1A/RARA/RNF135/SCIMP/SLC11A1/SORL1/SPHK1/STAT3/STAT5B/SULF2/SYK/TGFB1/TLR1/TLR4/TLR6/TLR8/TLR9/TRPV4/TSLP/TYROBP/ZBTB7B	96	MEbrown
GO:0031349	GO:0031349	positive regulation of defense response	70/1648	307/18903	4.42380322246065e-14	2.67406565562258e-11	1.99344261366713e-11	ADAM8/AIM2/AKIRIN2/ALOX5AP/CASP4/CCL5/CCR2/CD1D/CDK19/CEBPB/CLEC7A/CLNK/CNR1/CYBA/EMILIN2/F2RL1/FADD/FCGR1A/FCN1/FPR2/GPSM3/GRN/HCK/HLA-E/HYAL2/IL12A/IL12B/IL17RA/IL18/LAMP1/LILRA2/LRRK2/LYN/MAPK13/MAPK3/MGST2/MNDA/NAIP/NFKBIA/NFKBIZ/NINJ1/NLRP12/NLRP3/NMI/NOD2/OSM/OSMR/PAK1/PAK2/PLCG2/PTGS2/S100A12/S100A8/SLC15A4/SNCA/SPI1/STAT5B/SYK/TASL/TLR4/TLR8/TLR9/TNFRSF11A/TNFRSF1A/TNIP1/TRPV4/TSLP/TYROBP/VAV1/ZNFX1	70	MEbrown
GO:0006909	GO:0006909	phagocytosis	71/1648	314/18903	4.53923893332639e-14	2.67406565562258e-11	1.99344261366713e-11	ADORA2A/ANXA11/ARHGAP25/ATG3/CAMK1D/CD14/CD300A/CD300LF/CD302/CD36/CD93/CDC42/CEACAM4/CFP/CLEC7A/CNN2/CORO1A/CORO1C/CSK/CYBA/DYSF/F2RL1/FCGR1A/FCN1/FGR/FPR2/GSN/GULP1/HCK/ICAM3/IGHV1-24/IGHV3-72/IGHV3-73/IGLC6/ITGAM/ITGB2/LRP1/LYN/LYST/MERTK/MYD88/MYO7A/NCF2/NCF4/NOD2/PAK1/PECAM1/PIP4P2/PLCG2/PRKCD/PTPRC/PTPRJ/RAB31/RAB34/RAB5A/RAB7A/RAC1/RAC2/RARA/RHOG/SIRPA/SIRPB1/SLC11A1/SPHK1/SYK/TICAM2/TLR4/TYROBP/UNC13D/VAV1/XKR8	71	MEbrown
GO:0002221	GO:0002221	pattern recognition receptor signaling pathway	51/1648	187/18903	8.44372558181941e-14	4.52199885477256e-11	3.37102613658857e-11	AIM2/ALPK1/ARRB2/BCL10/CD14/CD300A/CD300LF/CD36/CTSS/CYBA/F2RL1/FCN1/FLOT1/GPR108/HSPA1A/HSPA1B/IRAK3/IRF1/LILRA2/LYN/MAPKAPK2/MAPKAPK3/MEFV/MYD88/NAIP/NFKBIA/NFKBIL1/NINJ1/NLRP3/NLRX1/NMI/NOD2/PELI1/PIK3AP1/PJA2/PLCG2/RNF135/RTN4/SCIMP/SEC14L1/SLC15A3/SLC15A4/TASL/TICAM2/TLR1/TLR4/TLR6/TLR8/TLR9/TNIP1/UNC93B1	51	MEbrown
GO:0043299	GO:0043299	leukocyte degranulation	31/1648	79/18903	1.5098553541291e-13	7.41213157597878e-11	5.52554082230404e-11	ADGRE2/CBL/CCR2/CD300A/CEACAM1/CHGA/CLNK/CORO1A/F2RL1/FES/FGR/GAB2/HCK/IL4R/ITGAM/ITGB2/LAMP1/LAT2/LGALS9/LYN/MILR1/MRGPRX2/PIK3CD/PRAM1/PTAFR/RAC2/SNAP23/SPI1/STXBP2/SYK/UNC13D	31	MEbrown
GO:0002443	GO:0002443	leukocyte mediated immunity	90/1648	463/18903	2.59739113038958e-13	1.17701778070192e-10	8.77434477407717e-11	ADGRE2/ARID5A/ARRB2/BCL10/BCL3/BCL6/C1RL/CBL/CCR2/CD1D/CD300A/CD55/CEACAM1/CHGA/CLEC4G/CLEC7A/CLNK/CORO1A/CR1/CR1L/CRK/CSF2RB/CYRIB/F2RL1/FADD/FCGR1A/FES/FGR/GAB2/HFE/HLA-B/HLA-E/ICAM1/IGHV1-24/IGHV3-72/IGHV3-73/IGLC6/IL12A/IL12B/IL18/IL1R1/IL4I1/IL4R/ITGAM/ITGB2/JAG1/JAK3/KLRC1/LAMP1/LAT2/LGALS9/LILRB4/LYN/LYST/MILR1/MRGPRX2/MYD88/NLRP3/NOD2/PIK3CD/PLCG2/PLEKHM2/PRAM1/PRKCD/PTAFR/PTPN6/PTPRC/RAC2/RNF19B/SCIMP/SLAMF9/SLC15A4/SNAP23/SPI1/STAT5B/STXBP2/SYK/TCIRG1/TGFB1/TLR4/TLR8/TLR9/TNFRSF1B/TNFSF13/TREM1/TUBB4B/TYROBP/UNC13D/VAV1/WAS	90	MEbrown
GO:0045862	GO:0045862	positive regulation of proteolysis	77/1648	372/18903	5.23058830943866e-13	2.05422638206021e-10	1.53136943347215e-10	ADAM8/ADAM9/AGTPBP1/AIM2/AKIRIN2/APAF1/ASPH/AURKAIP1/BAG6/BBC3/BCAP31/BCL10/BCL2L11/BID/CBFA2T3/CFLAR/CLEC7A/CLN6/COP1/CR1/CTSD/DAP/DAPK1/DISC1/EFNA1/ENO1/F12/FADD/FURIN/GABARAP/GRN/GSK3A/GSK3B/GSN/HIP1/HSPA1A/HSPA1B/LAPTM5/LGALS9/LPCAT3/LRRK2/LYN/MAP3K5/MBP/MEFV/MUL1/NCSTN/NFE2L2/NGFR/NLRP12/NLRP3/NRDC/P2RX1/PICALM/PLK3/PPM1F/PRELID1/PSEN1/PTEN/RCN3/RGMA/RHOA/RNF144B/RNF19B/S100A8/SH3RF3/SNCA/ST20/STAT3/SYK/TNFRSF1B/TNFSF10/TNIP1/TRIB1/TRIM67/VSIR/ZER1	77	MEbrown
GO:0007159	GO:0007159	leukocyte cell-cell adhesion	82/1648	414/18903	1.0885387401776e-12	3.92786487249081e-10	2.92811554611078e-10	ACTB/ADAM8/ADORA2A/ALOX5/BCL10/BCL6/CCL5/CCR2/CD1D/CD300A/CD55/CEACAM1/CEBPB/CLEC4G/CORO1A/CR1/CSK/CYRIB/DUSP3/EXT1/F11R/FADD/FCHO1/FERMT3/FGL2/FLOT2/FOXO3/GLI3/HFE/HLA-E/HLX/ICAM1/IL12A/IL12B/IL18/IL1RL2/IL4I1/IL4R/IRF1/ITGA5/ITGB2/JAK3/LAPTM5/LGALS9/LGALS9C/LILRB2/LILRB4/LRG1/LYN/MADCAM1/MSN/NFKBIZ/NLRP3/NOD2/PECAM1/PELI1/PPP3CA/PRKAR1A/PTAFR/PTEN/PTPN6/PTPRC/RAC2/RARA/RHOA/RIPOR2/S100A8/SELL/SELPLG/SIRPA/SIRPB1/SMARCD3/STAT5B/SYK/TGFBR2/TNFAIP8L2/TNFSF14/TNIP1/VAV1/VSIG4/VSIR/ZBTB7B	82	MEbrown
